namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	eu_14_votersreg	eu_14_votersvalid	eu_14_nevolici	eu_14_other	eu_14_nova	eu_14_kdh	eu_14_smer	eu_14_most	eu_14_ol	eu_14_sas	eu_14_sdku	eu_14_smk
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	17	437	126	311	63	63	425	71	366	15	2	9	20	0	13	6	6	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	18	809	267	542	150	117	781	131	678	15	4	13	44	2	29	10	14	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	19	851	260	591	84	176	839	101	750	27	6	8	31	0	14	5	9	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	20	364	77	288	21	56	365	28	337	14	3	3	4	0	1	2	1	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	21	923	301	622	168	133	893	191	732	28	10	17	68	3	35	14	15	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	22	804	222	582	103	119	778	154	650	31	19	9	40	3	29	10	13	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	23	958	319	641	145	174	960	185	775	38	5	17	59	7	24	17	18	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	24	301	70	231	26	44	297	24	277	11	1	4	4	0	1	3	0	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	25	564	251	313	142	109	561	34	530	11	1	0	9	0	9	2	2	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	26	904	294	610	104	190	897	106	798	29	8	7	38	3	6	10	5	0
