namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	eu_14_votersreg	eu_14_votersvalid	eu_14_nevolici	eu_14_other	eu_14_nova	eu_14_kdh	eu_14_smer	eu_14_most	eu_14_ol	eu_14_sas	eu_14_sdku	eu_14_smk
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	7	15	1	6	22	8	14	4	0	0	4	0	0	0	0	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	113	252	58	55	365	48	317	23	6	4	12	0	2	0	0	1
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	19	37	7	12	56	15	41	5	0	1	7	0	2	0	0	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	854	203	655	60	143	858	85	773	28	9	17	10	2	7	7	5	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	340	851	74	266	1180	90	1101	21	9	13	31	0	8	2	6	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1194	351	843	73	278	1188	89	1105	29	14	4	25	0	6	1	10	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	897	289	619	69	220	908	99	809	30	13	14	16	0	19	3	4	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	48	89	13	35	137	35	102	17	0	1	13	2	0	0	0	2
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	83	444	39	44	527	60	467	7	2	2	7	9	0	3	0	30
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	341	55	286	30	25	340	24	317	9	0	0	11	0	0	2	2	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	72	104	40	32	173	48	128	20	0	6	15	1	1	1	4	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	71	419	26	45	490	44	446	11	1	17	9	0	5	1	0	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	2	467	99	372	37	62	471	37	434	13	1	4	14	0	1	2	2	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	3	614	129	497	58	71	626	51	575	19	0	4	17	0	6	3	1	1
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	4	389	76	318	33	43	394	25	369	9	0	7	5	0	3	0	1	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	5	1173	326	847	140	186	1167	114	1059	23	2	20	48	0	9	9	3	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	6	1238	404	835	192	212	1239	162	1077	34	1	28	74	0	12	8	5	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	7	877	249	628	79	170	842	83	794	25	5	6	30	0	4	8	5	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	8	1020	308	712	162	146	995	134	886	26	9	19	51	0	12	8	9	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	9	660	178	487	86	92	665	84	581	14	5	6	40	0	8	8	3	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	10	1027	249	778	139	110	1004	128	899	26	4	14	55	1	14	13	1	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	11	1273	394	879	254	140	1259	171	1102	36	8	15	88	2	8	8	6	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	12	1086	313	773	166	147	1050	139	947	27	1	1	76	1	10	10	13	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	13	495	161	334	92	69	490	94	401	20	5	1	48	1	9	4	6	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	14	1231	296	935	168	128	1227	138	1093	34	2	7	65	6	11	6	7	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	15	220	54	186	14	40	240	40	200	15	1	8	3	1	3	4	5	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	1	384	66	319	29	37	385	32	353	10	0	5	10	0	1	6	0	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	2	88	19	69	13	6	84	15	73	5	0	2	6	0	2	0	0	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	3	120	24	96	18	6	119	15	105	4	0	3	5	0	2	0	1	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518280	Devièie	1	249	82	171	29	53	253	35	218	15	0	1	7	1	2	6	3	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	1	789	217	612	89	128	829	121	708	29	9	12	44	0	12	10	5	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	2	879	164	715	62	102	857	80	799	21	6	2	33	0	10	5	3	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518298	Dobrá Niva	1	1555	382	1173	237	145	1524	199	1356	40	2	11	101	0	16	6	23	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	1	502	136	370	49	87	506	48	458	12	1	0	24	0	2	3	6	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	2	42	12	33	2	10	45	17	28	10	0	1	1	0	0	2	3	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515957	Dolinka	1	411	52	359	42	10	406	108	303	2	2	0	2	40	0	0	1	61
Banskobystrickı kraj	602	Brezno	603	Brezno	508535	Dolná Lehota	1	609	134	486	61	73	620	67	553	15	0	19	20	0	4	5	4	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508543	Dolná Mièiná	1	311	89	224	34	55	313	30	283	7	0	0	12	1	5	2	3	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515965	Dolná Strehová	1	870	148	722	46	102	853	81	789	19	4	8	19	0	11	3	17	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516724	Dolná Trnávka	1	296	133	163	31	102	291	95	201	34	3	32	14	2	3	2	5	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516732	Dolná Ves	1	203	61	143	26	35	204	35	169	12	0	0	18	0	5	0	0	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516741	Dolná daòa	1	675	154	530	53	101	684	88	596	21	1	11	30	0	14	2	9	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518301	Dolné Mladonice	1	105	36	72	21	15	108	23	85	5	0	2	9	0	5	1	1	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515973	Dolné Plachtince	1	492	110	405	57	53	515	51	464	22	3	8	10	2	3	2	1	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515981	Dolné Strháre	1	169	41	129	27	14	170	27	143	3	2	1	15	1	0	1	3	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514632	Dolné Zahorany	1	157	32	126	19	13	158	43	115	1	0	1	0	24	0	2	2	13
Banskobystrickı kraj	606	Zvolen	605	Krupina	518310	Dolnı Badín	1	213	78	135	29	49	211	43	170	11	0	9	12	0	5	3	3	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508551	Dolnı Harmanec	1	192	52	143	21	31	195	37	158	10	3	3	16	0	2	0	3	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518336	Domaníky	1	162	44	125	29	15	169	22	147	11	1	2	5	1	1	0	1	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508560	Donovaly	1	175	64	177	26	38	241	96	145	17	13	11	20	1	17	6	11	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508578	Drábsko	1	160	41	126	25	16	167	31	136	13	1	0	11	1	2	0	2	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514641	Draice	1	181	25	157	19	6	182	31	151	1	0	0	0	19	0	0	2	9
Banskobystrickı kraj	606	Zvolen	605	Krupina	518344	Dráovce	1	101	37	66	23	14	103	27	76	11	4	2	6	0	3	0	0	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514659	Drienèany	1	162	65	98	24	41	163	34	129	14	0	0	8	5	1	4	1	1
Banskobystrickı kraj	606	Zvolen	605	Krupina	518352	Drienovo	1	87	26	61	5	21	85	22	65	7	0	5	5	0	0	5	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514667	Dròa	1	136	34	110	20	14	144	40	104	6	0	2	0	21	0	0	0	11
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514675	Drkovce	1	403	70	335	18	52	405	58	347	6	1	1	0	19	0	0	1	30
Banskobystrickı kraj	603	Luèenec	607	Poltár	557323	Ïubákovo	1	79	27	57	9	18	84	18	66	6	2	1	9	0	0	0	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514683	Dubno	1	120	34	102	18	16	136	40	96	21	1	0	0	5	0	0	0	13
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518361	Dubové	1	215	76	139	56	20	213	49	166	17	0	1	29	0	0	2	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514691	Dubovec	1	391	43	348	34	9	386	41	350	3	1	0	0	25	8	0	1	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508586	Dúbravica	1	305	99	206	41	58	297	40	265	12	1	1	15	0	4	2	5	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	1	537	156	381	79	77	528	65	472	17	0	4	32	0	10	1	1	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	2	167	74	97	33	41	171	22	149	3	0	0	17	0	1	1	0	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	3	97	43	61	15	28	104	23	81	12	0	0	5	0	4	1	1	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518387	Dudince	1	1245	250	1041	135	115	1291	237	1054	55	8	34	90	5	20	8	17	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557919	Dulovo	1	121	17	108	9	8	125	35	90	14	2	2	3	4	0	0	5	5
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515990	Ïurkovce	1	112	28	85	28	0	113	20	93	1	0	0	7	4	0	1	0	7
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514713	Figa	1	315	51	264	18	33	315	24	291	9	1	2	7	3	1	0	0	1
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	1	961	111	850	42	69	933	62	899	10	0	1	9	14	0	0	1	27
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	2	877	77	800	38	39	858	48	829	12	0	2	7	12	3	2	0	10
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	3	927	98	829	58	40	891	72	855	9	2	0	13	24	2	0	0	22
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	4	918	136	782	84	52	896	84	834	9	2	2	11	19	3	1	4	33
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	5	1013	171	842	104	67	977	146	867	16	1	1	20	50	4	2	1	51
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	6	620	61	559	29	32	604	41	579	3	2	0	6	9	1	0	1	19
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	7	945	80	865	43	37	941	62	883	7	0	3	8	15	3	0	0	26
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	8	762	107	655	50	57	752	62	700	1	1	0	9	22	3	8	3	15
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	9	1182	115	1067	58	57	1159	57	1125	14	2	2	4	19	2	1	2	11
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511404	Fi¾akovské Kováèe	1	704	72	632	39	33	704	50	654	8	2	4	1	16	0	0	1	18
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514721	Gemer	1	692	60	632	25	35	686	80	612	6	1	3	7	40	0	2	0	21
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514730	Gemerèek	1	90	10	84	5	5	94	22	72	2	1	0	0	13	0	0	1	5
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514756	Gemerská Ves	1	696	42	661	22	20	703	62	641	2	4	1	3	20	11	2	1	18
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514764	Gemerské Dechtáre	1	362	67	297	53	14	364	102	262	14	1	1	0	13	0	3	0	70
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557889	Gemerské Michalovce	1	79	27	52	23	4	73	22	57	5	1	1	0	10	0	1	0	4
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	1	165	41	131	27	14	172	15	157	0	0	0	12	0	1	0	0	2
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	2	132	64	68	17	47	130	15	117	3	0	0	10	0	0	0	2	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514781	Gemerskı Jablonec	1	587	125	462	98	27	585	133	454	13	5	1	5	31	2	5	0	71
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	1	107	49	68	20	29	117	27	90	8	3	1	5	1	4	1	0	4
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	2	134	29	108	13	16	137	20	117	8	2	0	2	4	0	0	1	3
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516007	Glabušovce	1	93	44	55	28	16	99	34	65	4	2	2	4	1	0	5	4	12
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514799	Gortva	1	393	20	379	17	3	399	32	367	4	0	0	1	21	0	0	0	6
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557331	Gregorova Vieska	1	107	30	80	19	11	110	21	89	7	1	0	11	0	0	0	2	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514811	Hajnáèka	1	961	140	821	117	23	949	148	813	11	8	1	13	72	0	0	1	42
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511421	Haliè	1	1387	346	1041	121	225	1348	139	1248	36	8	14	46	2	9	7	17	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508594	Harmanec	1	754	168	589	53	115	757	78	679	25	7	6	37	0	0	1	2	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	1	746	181	565	36	145	736	75	671	24	12	7	23	0	3	6	0	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	2	791	173	618	58	115	786	72	719	30	3	15	23	0	0	0	1	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	3	760	216	544	57	159	749	95	665	34	1	11	27	0	15	4	3	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508616	Hiade¾	1	433	102	334	32	70	436	45	391	12	1	4	16	0	1	5	6	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	1	1238	277	961	108	169	1220	148	1090	51	8	17	52	1	8	4	7	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	2	1182	285	897	117	168	1148	153	1029	43	8	14	52	0	21	9	5	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	1	342	48	294	22	26	223	20	322	10	3	0	6	0	0	1	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	2	703	93	618	31	62	711	33	678	17	0	2	12	0	0	0	2	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	3	848	171	677	60	111	811	71	777	27	1	4	28	1	1	2	7	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	4	1179	363	816	113	250	1171	132	1047	43	2	2	62	1	8	3	11	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	5	669	200	469	91	109	661	93	576	25	11	1	40	0	7	4	4	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	6	913	273	640	67	206	888	106	807	53	6	3	28	0	3	5	8	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	7	1057	190	867	68	122	1051	69	988	22	1	1	41	1	1	1	1	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514837	Hodejov	1	1050	161	908	71	90	1069	75	994	13	2	2	26	17	0	0	1	14
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514845	Hodejovec	1	156	28	128	13	15	156	22	134	8	0	1	1	4	0	0	1	7
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	1	562	94	468	36	58	555	71	491	20	0	0	32	4	4	5	6	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	2	1182	336	855	163	173	1191	139	1052	35	3	9	66	1	2	4	19	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	3	104	40	64	20	20	102	32	72	3	1	0	21	0	2	1	4	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511439	Holiša	1	479	49	430	38	11	468	43	436	7	1	4	4	9	1	1	0	16
Banskobystrickı kraj	606	Zvolen	605	Krupina	518409	Hontianske Moravce	1	714	216	498	113	103	664	112	602	41	5	6	45	0	5	5	5	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518417	Hontianske Nemce	1	1224	239	985	100	139	1211	127	1097	36	1	25	50	1	10	3	1	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	1	415	71	345	36	35	416	38	378	9	2	4	11	0	8	2	2	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	2	51	18	37	12	6	55	15	40	3	0	2	7	0	2	0	1	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	3	145	31	114	21	10	145	19	126	5	1	1	10	1	1	0	0	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	4	84	19	66	9	10	85	20	65	5	0	1	8	0	2	3	1	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508624	Horná Lehota	1	480	139	367	59	80	506	85	421	14	8	5	38	0	4	4	11	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508632	Horná Mièiná	1	474	174	307	78	96	481	78	403	18	2	2	31	0	12	4	9	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516015	Horná Strehová	1	132	32	108	9	23	140	31	109	15	1	0	6	3	1	2	3	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	581747	Horná Ves	1	595	134	461	49	85	594	72	523	13	6	13	27	0	1	6	6	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516791	Horná daòa	1	435	105	330	47	58	430	81	354	28	10	12	25	0	2	2	2	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516805	Horné Hámre	1	493	99	412	40	59	511	97	414	34	7	14	18	0	10	10	4	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518433	Horné Mladonice	1	134	41	97	28	13	138	17	121	4	2	3	8	0	0	0	0	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516023	Horné Plachtince	1	172	31	142	8	23	173	23	150	9	2	0	9	0	1	1	1	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508641	Horné Pršany	1	320	125	195	59	66	317	50	270	13	3	0	24	0	3	5	2	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516031	Horné Strháre	1	189	48	142	22	26	190	23	167	6	2	1	7	2	1	1	3	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514853	Horné Zahorany	1	112	43	69	22	21	107	37	75	18	0	1	10	4	0	0	4	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518441	Hornı Badín	1	147	56	94	19	37	150	33	117	10	1	6	14	0	2	0	0	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518450	Hornı Tisovník	1	176	78	101	40	38	179	47	132	25	2	0	18	0	0	1	1	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514861	Hostice	1	675	76	610	46	30	686	63	623	5	0	0	4	30	0	1	0	23
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514870	Hostišovce	1	158	57	104	44	13	161	12	149	5	0	0	7	0	0	0	0	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516813	Hrabièov	1	475	99	376	27	72	474	51	424	14	2	9	23	0	3	0	0	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511447	Hradište	1	219	77	145	44	33	222	47	175	15	2	0	26	0	1	1	1	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	1	654	178	476	52	126	647	80	574	23	1	3	40	1	1	5	6	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	2	56	28	28	8	20	56	10	46	4	2	0	1	0	2	1	0	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	1	418	46	376	29	17	422	26	396	9	2	5	7	0	2	0	1	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	2	742	166	579	83	83	745	74	671	26	3	6	24	0	5	2	7	1
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	3	201	27	191	13	14	218	31	187	12	0	14	1	0	1	1	2	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	4	219	67	164	45	22	231	40	191	9	2	13	16	0	0	0	0	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	5	196	45	161	28	17	206	26	180	6	0	7	9	0	1	1	2	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	6	375	44	331	21	23	371	28	347	10	1	9	6	0	0	2	0	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	7	512	96	416	38	58	499	42	470	15	2	2	20	0	1	1	1	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	8	815	157	658	80	77	808	96	719	26	4	17	34	1	11	3	0	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	9	765	205	560	121	84	751	102	663	19	1	7	55	2	9	3	6	0
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514896	Hrlica	1	61	22	40	13	9	62	14	48	10	0	1	1	0	0	2	0	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	1	658	172	486	53	119	657	56	602	14	2	1	29	0	3	2	5	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	2	106	25	84	14	11	109	19	90	9	0	0	10	0	0	0	0	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	514918	Hrnèiarske Zaluany	1	721	195	526	79	116	715	80	641	26	2	12	29	1	1	5	4	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508659	Hrocho	1	964	201	770	77	124	971	62	909	17	3	1	25	1	6	4	5	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508659	Hrocho	2	229	61	168	14	47	226	13	216	4	1	4	3	0	1	0	0	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508667	Hronec	1	952	290	688	132	158	978	135	843	23	8	6	61	0	19	6	12	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	580236	Hronsek	1	542	160	391	69	91	551	74	477	19	3	2	26	0	8	6	10	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518476	Hronská Breznica	1	221	70	151	43	27	217	44	177	9	1	1	28	1	1	2	1	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516821	Hronská Dúbrava	1	332	75	257	44	31	332	52	280	11	1	5	23	4	5	3	0	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516830	Hronskı Beòadik	1	822	143	679	70	73	806	106	716	37	2	11	41	0	12	3	0	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516830	Hronskı Beòadik	2	185	34	155	15	19	189	45	144	17	0	12	11	0	0	2	3	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516040	Hrušov	1	698	142	556	94	48	681	62	636	23	4	9	17	0	3	2	4	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514926	Hrušovo	1	112	37	75	19	18	112	19	93	6	2	1	6	0	1	1	2	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514926	Hrušovo	2	56	24	33	15	9	57	21	36	10	1	0	7	1	0	2	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514934	Hubovo	1	112	19	96	12	7	115	26	89	1	0	0	2	10	0	2	1	10
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525766	Hucín	1	629	50	589	32	18	639	44	595	9	2	1	6	4	0	0	0	22
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514942	Husiná	1	375	30	345	21	9	371	40	335	3	0	2	1	11	0	2	1	20
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514951	Chanava	1	543	57	486	41	16	542	58	485	6	0	0	1	16	1	1	0	33
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514969	Chrámec	1	302	46	256	23	23	296	54	248	4	1	0	3	35	0	1	1	9
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516058	Chrastince	1	200	21	186	14	7	207	26	181	4	1	0	7	0	0	1	3	10
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516066	Chrany	1	122	53	70	36	17	123	34	89	16	2	2	11	0	1	1	0	1
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514977	Chvalová	1	130	50	83	22	28	133	40	93	11	1	1	14	4	0	0	1	8
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525774	Chyné	1	328	88	241	23	65	329	38	291	9	1	2	16	1	3	3	3	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516848	Ihráè	1	463	62	401	26	36	456	55	408	18	3	11	8	0	3	11	1	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516856	Ilija	1	271	74	207	32	42	281	61	220	19	4	13	14	1	4	4	2	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516074	Ipe¾ské Predmostie	1	536	96	440	85	11	497	103	433	5	2	1	3	33	0	3	1	55
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514985	Ivanice	1	181	62	130	25	37	192	36	156	5	1	0	0	12	4	0	0	14
