namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	nr_13_votersreg	nr_13_votersvalid	nr_13_nevolici	nr_13_other	nr_13_kdh	nr_13_sns	nr_13_ol	nr_13_sas	nr_13_smer	nr_13_most	nr_13_sdku	nr_13_smk
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	55	1005	308	697	137	171	1004	647	358	50	46	10	101	60	257	29	94	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	56	784	224	560	112	112	766	473	311	39	35	14	66	47	202	14	54	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	57	745	227	518	104	123	723	451	294	60	20	18	48	48	204	12	41	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	58	620	193	454	65	128	647	352	295	27	19	18	43	37	149	7	52	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	59	723	266	457	92	174	710	463	260	52	17	11	70	44	207	18	44	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	60	756	171	585	65	106	746	401	355	43	22	14	47	32	171	15	57	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	61	777	231	546	100	131	776	478	299	43	38	12	59	39	217	19	50	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	62	763	181	582	87	94	751	446	317	54	36	13	50	33	198	17	45	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	63	751	174	608	51	123	782	442	340	63	32	8	66	48	170	21	33	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	64	953	294	659	97	197	922	553	400	81	72	23	67	45	194	23	48	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	65	984	249	787	71	178	1036	566	470	76	32	23	71	58	223	12	71	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	66	668	178	490	64	114	662	351	317	42	17	18	57	28	144	17	28	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	67	942	278	664	79	199	912	518	424	90	18	18	83	43	213	17	36	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	68	1062	324	738	96	228	1038	549	513	91	34	14	93	57	202	17	41	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	69	925	278	647	87	191	897	499	426	69	46	17	62	46	211	13	35	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	70	1046	285	761	69	216	997	559	487	89	44	22	84	59	213	11	37	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	71	882	236	646	78	158	840	486	396	58	34	14	73	50	188	20	49	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	72	798	222	576	71	151	784	453	345	46	33	17	72	45	176	21	43	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	73	817	200	617	55	145	797	411	406	67	38	13	53	23	175	14	28	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	74	988	267	721	79	188	987	529	459	80	38	25	82	52	193	28	31	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	75	1063	330	733	116	214	1048	567	496	85	44	16	72	51	227	24	48	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	76	886	261	625	81	180	842	469	417	77	33	11	71	46	172	17	42	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	77	1058	282	776	79	203	1054	578	480	97	29	28	92	55	211	17	49	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	78	943	308	635	85	223	930	521	422	85	32	23	73	38	201	23	46	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	79	692	190	516	52	138	706	408	298	57	32	18	56	60	125	18	42	0
