namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	nr_13_votersreg	nr_13_votersvalid	nr_13_nevolici	nr_13_other	nr_13_kdh	nr_13_sns	nr_13_ol	nr_13_sas	nr_13_smer	nr_13_most	nr_13_sdku	nr_13_smk
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	325	51	274	24	27	296	173	152	26	9	1	3	2	44	69	2	17
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	68	250	44	24	318	119	199	8	5	10	4	3	83	2	3	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	462	129	333	63	66	444	300	162	41	9	15	18	9	167	26	13	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	84	174	37	47	254	167	91	29	12	11	9	10	81	8	7	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	49	80	28	21	124	92	37	13	4	5	2	4	57	1	6	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	7	27	1	6	34	20	14	2	1	1	2	1	11	0	2	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	113	246	58	55	359	216	143	25	7	12	18	10	140	2	1	1
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	19	45	7	12	64	46	18	4	1	4	1	0	36	0	0	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	854	203	651	60	143	841	401	453	78	42	10	33	12	197	7	22	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	340	851	74	266	1185	730	461	121	34	35	60	12	437	5	26	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1194	351	843	73	278	1194	658	536	139	27	25	92	21	321	13	20	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	897	289	608	69	220	894	553	344	86	40	38	52	21	304	2	10	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	48	84	13	35	115	76	56	13	0	5	1	3	51	0	2	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	83	441	39	44	516	242	282	17	3	4	4	7	54	67	7	79
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	341	55	286	30	25	338	190	151	26	3	10	8	3	134	0	6	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	72	110	40	32	182	132	50	10	25	5	6	1	76	0	9	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	71	409	26	45	468	283	197	33	37	15	22	2	167	1	6	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	2	467	99	370	37	62	469	261	208	18	19	21	19	8	169	2	5	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	3	614	129	485	58	71	614	385	229	26	16	12	18	11	288	1	13	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	4	389	76	313	33	43	386	215	174	15	17	14	12	12	139	1	5	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	5	1173	326	847	140	186	1171	739	434	81	73	24	80	39	411	3	28	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	6	1238	404	834	192	212	1230	855	383	59	88	31	81	32	532	7	25	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	7	877	249	628	79	170	862	532	345	71	35	22	96	43	229	4	32	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	8	1020	308	712	162	146	989	636	384	69	57	23	56	58	324	13	36	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	9	660	178	482	86	92	658	363	297	40	17	11	31	27	229	1	7	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	10	1027	249	778	139	110	1003	547	480	47	22	19	54	29	332	18	26	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	11	1273	394	879	254	140	1244	617	656	76	49	24	47	28	352	7	33	1
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	12	1086	313	773	166	147	1058	645	441	77	24	11	60	42	393	6	32	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	13	495	161	358	92	69	519	348	171	39	22	15	35	11	199	6	21	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	14	1231	296	935	168	128	1169	647	584	69	26	32	45	33	392	10	40	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	15	220	54	166	14	40	215	135	85	16	14	10	7	9	61	1	17	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	1	384	66	318	29	37	56	39	345	3	3	7	2	0	23	0	1	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	2	88	19	311	13	6	330	227	103	9	38	18	5	12	140	1	4	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	3	120	24	96	18	6	100	71	49	1	11	4	1	0	50	0	4	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518280	Devièie	1	249	82	167	29	53	242	154	95	21	0	11	10	4	94	8	6	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	1	789	217	599	89	128	816	514	302	75	25	32	27	27	310	3	15	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	2	879	164	715	62	102	867	445	434	34	35	27	41	18	269	4	17	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518298	Dobrá Niva	1	1555	382	1173	237	145	723	458	1097	57	14	17	49	28	236	2	55	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	1	502	136	366	49	87	498	314	188	49	5	18	27	6	204	1	4	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	2	42	12	37	2	10	49	33	16	7	1	0	2	0	23	0	0	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515957	Dolinka	1	411	52	359	42	10	402	265	146	4	2	1	0	0	7	122	0	129
Banskobystrickı kraj	602	Brezno	603	Brezno	508535	Dolná Lehota	1	609	134	510	61	73	644	379	265	31	40	20	26	11	222	7	20	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508543	Dolná Mièiná	1	311	89	222	34	55	310	208	103	24	15	11	14	16	111	1	16	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515965	Dolná Strehová	1	870	148	722	46	102	864	516	354	54	51	33	33	14	283	14	34	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516724	Dolná Trnávka	1	296	133	163	31	102	294	230	66	53	42	8	27	5	79	1	15	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516732	Dolná Ves	1	203	61	146	26	35	207	138	69	18	4	17	13	8	74	1	3	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516741	Dolná daòa	1	675	154	521	53	101	608	368	307	57	25	12	55	4	200	2	13	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518301	Dolné Mladonice	1	105	36	77	21	15	113	79	34	13	9	4	8	0	44	0	1	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515973	Dolné Plachtince	1	492	110	382	57	53	476	296	196	34	25	30	10	5	178	5	9	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515981	Dolné Strháre	1	169	41	128	27	14	163	84	85	9	0	9	6	2	51	1	6	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514632	Dolné Zahorany	1	157	32	136	19	13	168	127	41	2	4	0	1	3	6	44	1	66
Banskobystrickı kraj	606	Zvolen	605	Krupina	518310	Dolnı Badín	1	213	78	135	29	49	204	154	59	16	16	20	13	5	74	1	9	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508551	Dolnı Harmanec	1	192	52	140	21	31	188	121	71	15	8	6	4	4	74	1	9	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518336	Domaníky	1	162	44	118	29	15	153	90	72	14	6	7	12	2	45	0	4	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508560	Donovaly	1	175	64	410	26	38	474	414	60	38	40	11	62	68	109	20	62	4
Banskobystrickı kraj	602	Brezno	603	Brezno	508578	Drábsko	1	160	41	122	25	16	163	102	61	12	11	9	1	6	57	1	5	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514641	Draice	1	181	25	156	19	6	177	82	99	22	3	1	1	1	8	19	0	27
Banskobystrickı kraj	606	Zvolen	605	Krupina	518344	Dráovce	1	101	37	72	23	14	109	67	42	12	0	13	8	2	30	1	0	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514659	Drienèany	1	162	65	106	24	41	171	108	63	13	3	9	3	2	67	5	6	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518352	Drienovo	1	87	26	61	5	21	84	57	30	15	5	4	2	4	27	0	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514667	Dròa	1	136	34	103	20	14	137	68	69	2	2	2	0	0	5	43	0	14
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514675	Drkovce	1	403	70	333	18	52	390	220	183	13	3	0	0	1	39	62	4	98
Banskobystrickı kraj	603	Luèenec	607	Poltár	557323	Ïubákovo	1	79	27	64	9	18	91	62	29	10	5	2	2	2	38	0	3	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514683	Dubno	1	120	34	92	18	16	126	82	44	5	0	1	2	3	5	22	0	44
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518361	Dubové	1	215	76	139	56	20	215	136	79	24	2	7	8	4	83	0	8	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514691	Dubovec	1	391	43	348	34	9	381	190	201	17	3	2	0	4	7	89	2	66
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508586	Dúbravica	1	305	99	206	41	58	301	185	120	24	10	10	11	2	121	1	6	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	1	537	156	384	79	77	540	344	196	33	28	9	30	15	212	4	13	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	2	167	74	93	33	41	165	108	59	25	1	4	4	1	67	2	4	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	3	97	43	59	15	28	102	64	38	6	4	5	7	3	37	0	2	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518387	Dudince	1	1245	250	1150	135	115	1400	945	455	109	74	64	81	56	467	39	46	9
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557919	Dulovo	1	121	17	107	9	8	124	52	72	8	4	1	0	0	2	16	2	19
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515990	Ïurkovce	1	112	28	84	28	0	112	61	51	4	2	2	0	0	11	22	2	18
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514713	Figa	1	315	51	264	18	33	311	120	195	17	3	1	0	1	45	33	1	19
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	1	961	111	850	42	69	955	488	473	23	6	10	21	11	100	187	5	125
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	2	877	77	802	38	39	879	319	560	31	10	3	14	8	49	132	7	65
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	3	927	98	829	58	40	882	348	579	26	4	5	15	2	60	140	9	87
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	4	918	136	782	84	52	906	423	495	30	8	6	18	3	79	159	8	112
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	5	1013	171	844	104	67	1015	533	482	27	6	12	17	17	71	214	18	151
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	6	620	61	559	29	32	612	252	368	11	4	7	15	2	32	79	6	96
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	7	945	80	865	43	37	897	312	633	24	6	3	14	2	55	126	10	72
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	8	762	107	655	50	57	756	288	474	19	2	8	15	8	67	92	9	68
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	9	1182	115	1067	58	57	1127	420	762	39	9	7	19	6	70	159	8	103
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511404	Fi¾akovské Kováèe	1	704	72	638	39	33	710	338	372	17	9	5	12	2	87	134	14	58
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514721	Gemer	1	692	60	632	25	35	683	349	343	16	1	3	6	3	23	172	2	123
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514730	Gemerèek	1	90	10	80	5	5	90	37	53	2	1	0	0	1	9	16	0	8
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514756	Gemerská Ves	1	696	42	654	22	20	696	322	374	60	5	3	6	7	40	75	3	123
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514764	Gemerské Dechtáre	1	362	67	296	53	14	363	227	136	7	3	0	0	2	6	67	0	142
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557889	Gemerské Michalovce	1	79	27	53	23	4	80	46	34	3	1	2	0	1	3	20	0	16
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	1	165	41	124	27	14	163	100	65	14	0	6	1	4	72	3	0	0
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	2	132	64	68	17	47	128	73	59	16	3	2	1	5	40	3	2	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514781	Gemerskı Jablonec	1	587	125	462	98	27	578	337	250	5	4	0	11	5	18	105	0	189
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	1	107	49	58	20	29	102	70	37	9	2	1	4	4	24	13	2	11
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	2	134	29	115	13	16	144	93	51	17	0	2	5	1	12	28	1	27
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516007	Glabušovce	1	93	44	52	28	16	96	67	29	3	2	0	0	0	5	18	10	29
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514799	Gortva	1	393	20	373	17	3	388	105	288	21	4	1	0	1	14	45	1	18
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557331	Gregorova Vieska	1	107	30	80	19	11	110	62	48	13	3	2	4	3	30	4	3	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514811	Hajnáèka	1	961	140	826	117	23	966	695	271	20	8	1	1	3	29	413	2	218
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511421	Haliè	1	1387	346	1041	121	225	1327	717	670	99	60	24	76	41	324	21	71	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508594	Harmanec	1	754	168	593	53	115	761	395	366	61	7	11	32	11	250	6	17	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	1	746	181	581	36	145	762	503	259	72	54	22	37	7	300	2	9	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	2	791	173	618	58	115	784	457	334	65	48	20	17	7	292	0	8	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	3	760	216	558	57	159	774	531	243	67	58	23	28	13	324	4	14	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508616	Hiade¾	1	433	102	334	32	70	436	255	181	28	15	14	12	5	171	1	9	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	1	1238	277	961	108	169	1217	791	447	98	64	51	88	30	412	10	38	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	2	1182	285	897	117	168	1169	770	412	109	66	40	72	45	387	14	37	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	1	342	48	294	22	26	224	98	244	25	1	5	0	11	53	0	3	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	2	703	93	610	31	62	645	216	487	29	9	13	9	4	142	2	8	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	3	848	171	677	60	111	812	374	474	54	16	13	18	8	239	6	19	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	4	1179	363	816	113	250	1147	634	545	107	10	42	37	33	353	8	43	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	5	669	200	469	91	109	643	343	326	50	10	16	17	9	218	9	14	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	6	913	273	640	67	206	903	496	417	85	7	26	26	23	291	9	28	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	7	1057	190	867	68	122	1051	419	638	82	9	18	12	15	264	7	11	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514837	Hodejov	1	1050	161	893	71	90	1054	410	644	36	19	11	8	3	119	125	8	81
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514845	Hodejovec	1	156	28	129	13	15	157	82	75	12	1	0	0	0	36	13	1	19
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	1	562	94	478	36	58	572	292	280	41	16	20	11	7	181	1	15	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	2	1182	336	846	163	173	1150	691	491	84	35	41	22	20	439	8	42	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	3	104	40	92	20	20	132	95	37	12	1	8	5	4	60	2	3	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511439	Holiša	1	479	49	430	38	11	475	200	279	10	1	2	2	1	54	78	1	51
Banskobystrickı kraj	606	Zvolen	605	Krupina	518409	Hontianske Moravce	1	714	216	498	113	103	685	383	331	70	24	23	32	16	200	6	12	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518417	Hontianske Nemce	1	1224	239	985	100	139	1204	718	506	68	105	57	56	34	375	6	17	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	1	415	71	344	36	35	379	202	213	51	11	17	12	4	99	1	7	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	2	51	18	40	12	6	58	42	16	4	2	4	3	0	28	0	1	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	3	145	31	120	21	10	151	71	80	5	2	3	2	4	50	0	5	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	4	84	19	76	9	10	95	64	31	9	7	2	16	0	29	0	1	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508624	Horná Lehota	1	480	139	363	59	80	502	297	205	43	20	22	16	15	165	5	11	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508632	Horná Mièiná	1	474	174	300	78	96	440	292	182	39	12	5	30	21	159	6	20	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516015	Horná Strehová	1	132	32	108	9	23	140	61	79	10	2	5	7	0	29	2	6	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	581747	Horná Ves	1	595	134	461	49	85	579	352	243	61	26	20	44	32	149	4	15	1
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516791	Horná daòa	1	435	105	330	47	58	428	280	155	25	36	8	35	11	158	1	6	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516805	Horné Hámre	1	493	99	400	40	59	499	344	155	34	57	24	20	25	173	3	8	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518433	Horné Mladonice	1	134	41	98	28	13	139	89	50	14	6	6	3	0	59	0	1	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516023	Horné Plachtince	1	172	31	143	8	23	174	100	74	17	1	9	3	0	66	1	3	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508641	Horné Pršany	1	320	125	196	59	66	321	224	97	34	4	11	21	11	116	12	15	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516031	Horné Strháre	1	189	48	153	22	26	201	104	97	14	7	17	5	3	46	3	9	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514853	Horné Zahorany	1	112	43	80	22	21	123	86	37	8	2	8	6	3	47	4	7	1
Banskobystrickı kraj	606	Zvolen	605	Krupina	518441	Hornı Badín	1	147	56	93	19	37	149	104	45	15	18	5	4	6	55	0	1	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518450	Hornı Tisovník	1	176	78	114	40	38	192	126	66	11	4	13	19	2	77	0	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514861	Hostice	1	675	76	599	46	30	668	277	398	8	17	0	5	5	21	72	1	148
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514870	Hostišovce	1	158	57	101	44	13	152	60	98	8	0	4	0	0	47	1	0	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516813	Hrabièov	1	475	99	376	27	72	475	300	175	32	29	25	17	3	193	0	1	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511447	Hradište	1	219	77	146	44	33	223	156	67	13	1	9	7	3	121	1	1	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	1	654	178	476	52	126	643	397	257	36	15	23	21	7	284	5	6	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	2	56	28	28	8	20	54	39	17	2	4	5	6	1	20	0	1	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	1	418	46	380	29	17	426	262	164	25	20	4	10	3	198	0	2	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	2	742	166	578	83	83	744	462	282	40	28	31	17	14	319	0	13	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	3	201	27	187	13	14	214	134	80	11	22	6	2	0	88	0	5	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	4	219	67	159	45	22	226	147	79	10	21	17	1	2	96	0	0	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	5	196	45	181	28	17	226	130	96	8	12	8	2	3	92	1	4	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	6	375	44	344	21	23	388	217	171	17	16	14	9	1	158	0	2	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	7	512	96	417	38	58	513	315	198	24	17	31	21	4	209	2	7	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	8	815	157	658	80	77	812	511	304	41	66	32	23	11	312	3	23	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	9	765	205	621	121	84	826	539	287	41	22	31	54	13	331	2	45	0
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514896	Hrlica	1	61	22	42	13	9	64	29	35	8	0	1	0	2	18	0	0	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	1	658	172	486	53	119	631	297	361	50	6	14	15	7	180	14	11	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	2	106	25	93	14	11	118	69	49	5	0	1	1	0	58	4	0	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	514918	Hrnèiarske Zaluany	1	721	195	526	79	116	689	432	289	47	22	24	34	17	270	6	12	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508659	Hrocho	1	964	201	763	77	124	948	462	502	39	15	26	45	27	293	5	12	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508659	Hrocho	2	229	61	168	14	47	227	138	91	11	3	11	16	16	75	4	2	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508667	Hronec	1	952	290	674	132	158	964	560	404	70	25	18	53	25	319	11	39	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	580236	Hronsek	1	542	160	397	69	91	557	368	189	53	17	16	38	24	175	12	33	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518476	Hronská Breznica	1	221	70	156	43	27	226	121	105	4	6	2	7	7	91	0	4	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516821	Hronská Dúbrava	1	332	75	260	44	31	335	229	106	21	13	3	8	6	165	2	11	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516830	Hronskı Beòadik	1	822	143	685	70	73	828	549	279	83	43	49	43	5	312	5	9	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516830	Hronskı Beòadik	2	185	34	163	15	19	197	117	80	20	16	3	8	7	53	0	10	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516040	Hrušov	1	698	142	556	94	48	667	391	307	39	39	31	5	7	246	6	17	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514926	Hrušovo	1	112	37	77	19	18	114	54	60	7	2	5	1	1	33	2	2	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514926	Hrušovo	2	56	24	34	15	9	58	39	19	5	0	1	1	0	24	1	7	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514934	Hubovo	1	112	19	99	12	7	118	80	38	7	0	0	0	0	7	32	1	33
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525766	Hucín	1	629	50	579	32	18	610	264	365	157	5	1	7	0	15	39	0	40
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514942	Husiná	1	375	30	345	21	9	358	176	199	16	3	1	0	1	22	43	0	90
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514951	Chanava	1	543	57	491	41	16	548	323	225	3	1	2	1	1	7	82	7	219
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514969	Chrámec	1	302	46	256	23	23	269	155	147	5	1	1	0	1	13	94	1	39
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516058	Chrastince	1	200	21	179	14	7	195	65	135	10	2	4	3	0	14	20	3	9
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516066	Chrany	1	122	53	71	36	17	124	63	61	9	2	4	1	1	43	3	0	0
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514977	Chvalová	1	130	50	80	22	28	122	69	61	6	2	5	3	2	25	14	0	12
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525774	Chyné	1	328	88	240	23	65	325	187	141	49	13	8	9	3	93	3	9	0
