namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	pr1_14_votersreg	pr1_14_votersvalid	pr1_14_nevolici	pr1_14_other	pr1_14_bardos	pr1_14_fico	pr1_14_kiska	pr1_14_knazko	pr1_14_prochazka
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	34	791	240	551	96	144	768	307	484	22	1	46	78	93	67
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	35	689	201	581	67	134	782	337	445	29	2	59	87	84	76
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	36	973	292	681	124	168	666	286	687	28	0	54	58	72	74
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	37	863	229	708	94	135	937	460	477	45	0	84	98	98	135
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	38	1147	346	801	160	186	855	421	726	28	1	99	109	82	102
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	39	1079	332	784	132	200	1116	538	578	35	1	132	121	113	136
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	40	1150	373	777	155	218	1052	494	656	40	2	108	112	110	122
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	41	978	295	830	138	157	1125	588	537	30	1	128	146	140	143
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	42	909	291	675	118	173	966	436	530	42	1	94	114	86	99
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	43	978	291	687	137	154	884	398	580	22	0	86	95	100	95
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	44	1057	311	746	151	160	952	431	626	23	0	138	80	87	103
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	45	901	269	761	125	144	1030	473	557	43	0	126	110	85	109
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	46	840	255	647	102	153	902	460	442	31	2	107	118	103	99
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	47	801	206	597	102	104	803	393	410	23	0	129	96	69	76
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	48	989	295	694	111	184	774	373	616	30	0	85	89	95	74
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	49	940	261	695	120	141	956	480	476	29	1	137	90	100	123
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	50	996	239	757	95	144	921	414	582	40	0	108	94	74	98
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	51	1108	356	752	196	160	943	390	718	38	0	120	71	72	89
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	52	664	173	918	89	84	1091	609	482	35	0	183	116	154	121
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	53	1021	283	738	117	166	666	280	741	15	0	94	63	58	50
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	54	1039	352	687	174	178	970	424	615	35	0	113	93	103	80
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	55	1005	308	711	137	171	1019	520	499	36	0	163	88	120	113
