namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	3	120	32	88	5	7	15	5	120	24	96	18	6
Banskobystrickı kraj	606	Zvolen	605	Krupina	518280	Devièie	1	250	101	149	17	23	49	12	249	82	168	29	53
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	1	789	196	593	21	45	106	24	789	217	572	89	128
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	2	881	160	721	37	29	85	9	879	164	717	62	102
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518298	Dobrá Niva	1	1554	372	1183	21	49	236	66	1555	382	1173	237	145
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	1	502	107	395	9	27	59	12	502	136	366	49	87
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	2	42	8	34	0	4	4	0	42	12	30	2	10
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515957	Dolinka	1	412	77	335	19	2	33	23	411	52	360	42	10
Banskobystrickı kraj	602	Brezno	603	Brezno	508535	Dolná Lehota	1	609	97	512	23	13	53	8	609	134	475	61	73
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508543	Dolná Mièiná	1	311	77	234	16	16	35	10	311	89	222	34	55
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515965	Dolná Strehová	1	871	105	766	24	20	34	27	870	148	723	46	102
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516724	Dolná Trnávka	1	295	115	181	24	38	48	5	296	133	163	31	102
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516732	Dolná Ves	1	203	41	162	1	6	30	4	203	61	142	26	35
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516741	Dolná daòa	1	673	130	545	20	36	66	8	675	154	521	53	101
Banskobystrickı kraj	606	Zvolen	605	Krupina	518301	Dolné Mladonice	1	105	40	65	13	6	19	2	105	36	69	21	15
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515973	Dolné Plachtince	1	491	72	420	18	17	33	4	492	110	382	57	53
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515981	Dolné Strháre	1	173	43	130	6	4	22	11	169	41	132	27	14
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514632	Dolné Zahorany	1	157	37	120	5	4	21	7	157	32	125	19	13
Banskobystrickı kraj	606	Zvolen	605	Krupina	518310	Dolnı Badín	1	213	99	114	15	30	48	6	213	78	135	29	49
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508551	Dolnı Harmanec	1	192	48	144	8	14	19	7	192	52	140	21	31
Banskobystrickı kraj	606	Zvolen	605	Krupina	518336	Domaníky	1	163	39	124	12	3	23	1	162	44	119	29	15
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508560	Donovaly	1	175	56	119	7	22	19	8	175	64	111	26	38
Banskobystrickı kraj	602	Brezno	603	Brezno	508578	Drábsko	1	160	40	120	2	9	28	1	160	41	119	25	16
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514641	Draice	1	181	25	156	5	4	10	6	181	25	156	19	6
Banskobystrickı kraj	606	Zvolen	605	Krupina	518344	Dráovce	1	101	32	69	9	4	16	3	101	37	64	23	14
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514659	Drienèany	1	161	54	108	7	17	30	0	162	65	97	24	41
Banskobystrickı kraj	606	Zvolen	605	Krupina	518352	Drienovo	1	87	32	55	10	9	8	5	87	26	61	5	21
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514667	Dròa	1	137	44	93	10	8	12	14	136	34	103	20	14
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514675	Drkovce	1	403	172	231	40	23	81	28	403	70	333	18	52
Banskobystrickı kraj	603	Luèenec	607	Poltár	557323	Ïubákovo	1	79	23	56	0	10	11	2	79	27	52	9	18
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514683	Dubno	1	120	57	63	7	8	33	9	120	34	86	18	16
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518361	Dubové	1	216	62	154	4	4	52	2	215	76	140	56	20
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514691	Dubovec	1	391	98	293	28	16	42	12	391	43	348	34	9
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508586	Dúbravica	1	303	100	205	15	26	44	15	305	99	206	41	58
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	1	537	183	354	20	34	126	3	537	156	381	79	77
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	2	167	58	109	3	8	45	2	167	74	93	33	41
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	3	98	53	45	5	14	29	5	97	43	55	15	28
Banskobystrickı kraj	606	Zvolen	605	Krupina	518387	Dudince	1	1245	261	984	24	44	156	37	1245	250	995	135	115
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557919	Dulovo	1	120	20	101	10	3	6	1	121	17	104	9	8
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515990	Ïurkovce	1	113	26	87	8	0	16	2	112	28	85	28	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514713	Figa	1	316	99	217	61	13	17	8	315	51	265	18	33
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	1	961	175	786	18	39	82	36	961	111	850	42	69
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	2	882	136	746	41	11	60	24	877	77	805	38	39
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	3	924	158	769	23	11	93	31	927	98	829	58	40
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	4	918	197	721	26	22	92	57	918	136	782	84	52
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	5	1013	218	795	27	29	100	62	1013	171	842	104	67
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	6	621	85	536	14	8	48	15	620	61	560	29	32
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	7	946	97	849	14	15	51	17	945	80	866	43	37
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	8	762	137	625	27	15	61	34	762	107	655	50	57
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	9	1181	184	998	32	24	86	42	1182	115	1067	58	57
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511404	Fi¾akovské Kováèe	1	705	104	601	19	15	53	17	704	72	633	39	33
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514721	Gemer	1	689	90	602	27	11	19	33	692	60	632	25	35
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514730	Gemerèek	1	90	17	73	0	1	11	5	90	10	80	5	5
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514756	Gemerská Ves	1	695	78	618	29	7	36	6	696	42	654	22	20
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514764	Gemerské Dechtáre	1	363	129	234	21	6	75	27	362	67	296	53	14
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557889	Gemerské Michalovce	1	79	26	53	5	1	4	16	79	27	52	23	4
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	1	165	44	121	5	6	33	0	165	41	124	27	14
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	2	132	47	85	7	9	27	4	132	64	68	17	47
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514781	Gemerskı Jablonec	1	585	196	391	32	10	123	31	587	125	462	98	27
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	1	107	26	81	5	12	9	0	107	49	58	20	29
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	2	134	43	91	10	9	17	7	134	29	105	13	16
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516007	Glabušovce	1	94	38	56	2	0	31	5	93	44	50	28	16
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514799	Gortva	1	393	76	317	50	3	12	11	393	20	373	17	3
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557331	Gregorova Vieska	1	107	26	81	3	5	11	7	107	30	77	19	11
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514811	Hajnáèka	1	961	232	729	26	8	168	30	961	140	821	117	23
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511421	Haliè	1	1387	369	1018	49	85	152	83	1387	346	1041	121	225
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508594	Harmanec	1	750	130	624	17	35	63	15	754	168	586	53	115
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	1	745	138	608	18	49	60	11	746	181	565	36	145
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	2	791	81	710	7	32	32	10	791	173	618	58	115
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	3	760	151	609	20	65	50	16	760	216	544	57	159
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508616	Hiade¾	1	433	92	341	6	22	34	30	433	102	331	32	70
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	1	1236	201	1037	39	47	98	17	1238	277	961	108	169
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	2	1182	269	913	26	58	159	26	1182	285	897	117	168
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	1	342	63	279	15	14	25	9	342	48	294	22	26
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	2	704	80	624	14	31	30	5	703	93	611	31	62
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	3	845	155	693	17	37	79	22	848	171	677	60	111
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	4	1182	300	882	21	114	120	45	1179	363	819	113	250
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	5	670	180	490	5	55	101	19	669	200	470	91	109
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	6	917	225	692	16	92	84	33	913	273	644	67	206
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	7	1053	183	874	43	54	69	17	1057	190	867	68	122
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514837	Hodejov	1	1053	187	866	89	47	37	14	1050	161	892	71	90
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514845	Hodejovec	1	156	17	139	1	4	8	4	156	28	128	13	15
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	1	561	86	476	8	13	47	18	562	94	468	36	58
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	2	1186	297	889	34	28	183	52	1182	336	850	163	173
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	3	104	37	67	1	10	23	3	104	40	64	20	20
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511439	Holiša	1	480	55	425	11	2	26	16	479	49	431	38	11
Banskobystrickı kraj	606	Zvolen	605	Krupina	518409	Hontianske Moravce	1	714	252	462	32	55	152	13	714	216	498	113	103
Banskobystrickı kraj	606	Zvolen	605	Krupina	518417	Hontianske Nemce	1	1223	204	1020	21	54	101	28	1224	239	985	100	139
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	1	415	78	337	32	7	33	6	415	71	344	36	35
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	2	51	16	35	1	0	15	0	51	18	33	12	6
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	3	145	22	123	2	2	17	1	145	31	114	21	10
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	4	84	32	52	13	4	12	3	84	19	65	9	10
Banskobystrickı kraj	602	Brezno	603	Brezno	508624	Horná Lehota	1	480	106	374	6	28	60	12	480	139	341	59	80
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508632	Horná Mièiná	1	473	135	339	22	28	63	22	474	174	300	78	96
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516015	Horná Strehová	1	132	30	102	9	11	8	2	132	32	100	9	23
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	581747	Horná Ves	1	595	112	483	12	30	44	26	595	134	461	49	85
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516791	Horná daòa	1	435	95	340	16	11	61	7	435	105	330	47	58
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516805	Horné Hámre	1	492	114	379	15	30	62	7	493	99	394	40	59
Banskobystrickı kraj	606	Zvolen	605	Krupina	518433	Horné Mladonice	1	134	60	74	22	8	30	0	134	41	93	28	13
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516023	Horné Plachtince	1	172	28	144	8	7	12	1	172	31	141	8	23
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508641	Horné Pršany	1	321	119	202	25	23	55	16	320	125	196	59	66
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516031	Horné Strháre	1	190	42	148	11	8	20	3	189	48	142	22	26
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514853	Horné Zahorany	1	112	41	71	5	11	22	3	112	43	69	22	21
Banskobystrickı kraj	606	Zvolen	605	Krupina	518441	Hornı Badín	1	147	82	65	12	20	40	10	147	56	91	19	37
Banskobystrickı kraj	606	Zvolen	604	Detva	518450	Hornı Tisovník	1	177	75	102	10	18	40	7	176	78	99	40	38
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514861	Hostice	1	675	215	460	109	15	45	46	675	76	599	46	30
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514870	Hostišovce	1	158	25	133	5	2	17	1	158	57	101	44	13
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516813	Hrabièov	1	474	93	382	22	22	45	4	475	99	376	27	72
Banskobystrickı kraj	603	Luèenec	607	Poltár	511447	Hradište	1	218	86	133	4	22	57	3	219	77	142	44	33
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	1	656	141	515	12	50	71	8	654	178	478	52	126
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	2	57	22	35	2	9	10	1	56	28	29	8	20
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	1	418	77	341	15	6	56	0	418	46	372	29	17
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	2	742	210	532	26	37	130	17	742	166	576	83	83
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	3	201	60	141	9	6	42	3	201	27	174	13	14
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	4	220	82	138	3	11	65	3	219	67	153	45	22
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	5	196	52	144	3	5	42	2	196	45	151	28	17
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	6	375	76	299	8	20	41	7	375	44	331	21	23
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	7	512	114	398	16	22	63	13	512	96	416	38	58
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	8	814	215	600	30	25	127	33	815	157	658	80	77
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	9	768	232	536	20	25	160	27	765	205	563	121	84
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514896	Hrlica	1	61	22	39	5	5	12	0	61	22	39	13	9
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	1	655	182	476	42	53	75	12	658	172	486	53	119
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	2	106	22	84	1	7	14	0	106	25	81	14	11
Banskobystrickı kraj	603	Luèenec	607	Poltár	514918	Hrnèiarske Zaluany	1	720	179	542	26	43	87	23	721	195	526	79	116
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508659	Hrocho	1	956	133	831	33	42	39	19	964	201	763	77	124
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508659	Hrocho	2	229	27	202	11	7	5	4	229	61	168	14	47
Banskobystrickı kraj	602	Brezno	603	Brezno	508667	Hronec	1	951	220	732	19	42	136	23	952	290	662	132	158
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	580236	Hronsek	1	542	134	408	8	35	64	27	542	160	382	69	91
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518476	Hronská Breznica	1	221	66	155	1	8	46	11	221	70	151	43	27
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516821	Hronská Dúbrava	1	330	75	257	7	5	55	8	332	75	257	44	31
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516830	Hronskı Beòadik	1	822	116	706	23	13	74	6	822	143	679	70	73
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516830	Hronskı Beòadik	2	185	49	136	5	26	13	5	185	34	151	15	19
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516040	Hrušov	1	698	140	558	14	9	103	14	698	142	556	94	48
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514926	Hrušovo	1	112	23	89	2	4	17	0	112	37	75	19	18
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514926	Hrušovo	2	56	25	31	2	1	19	3	56	24	32	15	9
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514934	Hubovo	1	113	17	96	3	0	11	3	112	19	94	12	7
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525766	Hucín	1	629	81	548	17	10	46	8	629	50	579	32	18
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514942	Husiná	1	374	37	338	4	1	25	7	375	30	345	21	9
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514951	Chanava	1	542	127	416	22	2	68	35	543	57	486	41	16
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514969	Chrámec	1	303	96	207	19	17	51	9	302	46	257	23	23
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516058	Chrastince	1	199	29	171	11	4	7	7	200	21	179	14	7
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516066	Chrany	1	122	41	81	9	5	25	2	122	53	69	36	17
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514977	Chvalová	1	130	48	82	12	6	24	6	130	50	80	22	28
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525774	Chyné	1	328	57	271	6	21	26	4	328	88	240	23	65
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516848	Ihráè	1	460	64	399	9	11	39	5	463	62	401	26	36
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516856	Ilija	1	271	70	201	14	19	21	16	271	74	197	32	42
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516074	Ipe¾ské Predmostie	1	535	97	439	12	5	55	25	536	96	440	85	11
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514985	Ivanice	1	180	72	109	38	12	20	2	181	62	119	25	37
Banskobystrickı kraj	606	Zvolen	605	Krupina	518484	Jalšovík	1	164	68	96	9	11	38	10	164	54	110	26	28
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514993	Janice	1	138	88	50	29	7	46	6	138	51	87	44	7
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516872	Janova Lehota	1	775	388	388	65	65	236	22	776	301	475	164	137
Banskobystrickı kraj	602	Brezno	603	Brezno	508691	Jarabá	1	35	10	25	3	2	5	0	35	16	19	5	11
Banskobystrickı kraj	602	Brezno	603	Brezno	508705	Jasenie	1	958	168	790	19	36	101	12	956	196	762	78	118
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516881	Jastrabá	1	471	85	388	23	14	35	13	473	73	400	24	49
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525791	Jelšava	1	1128	87	1044	19	41	18	9	1131	215	916	99	116
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525791	Jelšava	2	1150	160	993	25	81	36	18	1153	285	868	50	235
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511463	Jelšovec	1	227	57	170	8	5	43	1	226	67	160	57	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515001	Jesenské	1	872	125	747	44	20	34	27	872	112	760	59	53
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515001	Jesenské	2	914	90	825	12	38	21	19	915	126	789	35	91
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515019	Jestice	1	139	34	105	7	0	18	9	139	32	107	16	16
Banskobystrickı kraj	603	Luèenec	607	Poltár	511471	Kalinovo	1	948	217	731	20	41	128	28	948	239	709	135	104
Banskobystrickı kraj	603	Luèenec	607	Poltár	511471	Kalinovo	2	915	186	731	24	39	106	17	917	194	723	81	113
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511480	Kalonda	1	181	22	159	1	2	15	4	181	40	141	29	11
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515027	Kaloša	1	521	116	408	57	10	30	19	524	101	423	81	20
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525812	Kameòany	1	539	77	462	13	28	34	2	539	138	401	64	74
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516082	Kamenné Kosihy	1	292	76	217	2	2	36	36	293	71	222	39	32
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515035	Kesovce	1	163	65	98	30	0	35	0	160	38	125	35	3
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516091	Kiarov	1	266	113	153	13	7	61	32	264	67	199	56	11
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516902	K¾ak	1	191	52	139	6	9	34	3	191	65	126	31	34
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516104	Kleòany	1	249	50	199	9	0	33	8	248	45	204	41	4
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515043	Klenovec	1	804	196	608	15	80	84	17	801	231	573	75	156
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515043	Klenovec	2	801	178	623	8	54	103	13	800	198	603	78	120
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515043	Klenovec	3	865	190	680	17	53	94	26	870	231	639	111	120
Banskobystrickı kraj	606	Zvolen	604	Detva	518492	Klokoè	1	416	129	287	3	22	79	25	416	119	297	44	75
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515051	Kociha	1	166	28	138	4	5	19	0	165	34	132	15	19
Banskobystrickı kraj	603	Luèenec	607	Poltár	511498	Kokava nad Rimavicou	1	798	350	448	55	48	239	8	796	324	474	218	106
Banskobystrickı kraj	603	Luèenec	607	Poltár	511498	Kokava nad Rimavicou	2	797	334	467	53	88	178	15	801	298	503	148	150
Banskobystrickı kraj	603	Luèenec	607	Poltár	511498	Kokava nad Rimavicou	3	805	368	437	31	81	241	15	803	324	481	195	129
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516112	Koláre	1	243	60	183	11	5	12	32	243	35	208	17	18
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515060	Konrádovce	1	250	33	217	12	6	6	9	250	43	207	15	28
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516937	Kopernica	1	342	38	304	6	16	9	7	342	60	282	15	45
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508713	Kordíky	1	320	96	224	12	33	24	27	320	119	201	31	88
Banskobystrickı kraj	606	Zvolen	604	Detva	580520	Korytárky	1	790	295	495	28	40	186	41	789	184	606	89	95
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516121	Kosihovce	1	459	61	398	8	4	44	5	459	48	411	31	17
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516139	Kosihy nad Ip¾om	1	397	56	341	7	0	29	20	397	34	363	32	2
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516945	Kosorín	1	359	77	282	14	10	44	9	358	131	228	47	84
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511374	Kotmanová	1	265	55	210	5	24	24	2	265	64	201	26	38
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518506	Kováèová	1	1264	407	858	47	63	247	50	1265	417	848	224	193
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516147	Kováèovce	1	311	126	185	8	11	51	56	311	58	253	38	20
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516953	Kozelník	1	152	49	104	11	17	17	4	153	46	107	16	30
Banskobystrickı kraj	606	Zvolen	605	Krupina	518514	Kozí Vrbovok	1	132	48	84	6	11	26	5	132	38	94	15	23
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516961	Krahule	1	156	51	105	12	5	18	16	156	47	109	28	19
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515078	Krá¾	1	744	190	555	75	26	49	40	745	143	602	82	61
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508721	Králiky	1	525	142	384	14	32	73	23	526	148	378	63	85
Banskobystrickı kraj	606	Zvolen	605	Krupina	518531	Krá¾ovce - Krnišov	1	152	46	106	8	7	24	7	152	44	108	24	20
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515086	Kraskovo	1	114	37	77	0	14	20	3	114	40	74	11	29
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516970	Kremnica	1	836	219	619	33	47	73	66	838	225	613	68	157
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516970	Kremnica	2	859	174	685	20	29	83	42	859	174	685	63	111
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516970	Kremnica	3	836	170	666	18	35	79	38	833	169	667	70	99
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516970	Kremnica	4	940	218	722	35	64	83	36	938	269	671	87	182
