namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	39	266	5	2	25	7	305	24	281	18	6
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	142	53	89	17	10	23	3	140	51	91	34	17
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	122	379	29	6	66	21	501	54	447	43	11
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	33	73	4	8	17	4	106	22	84	12	10
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	983	226	757	21	69	112	24	982	267	716	83	184
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	917	196	721	31	19	108	38	913	113	804	66	47
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	140	479	57	7	44	32	619	79	540	54	25
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	225	27	198	6	1	15	5	224	37	188	15	22
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	64	247	10	8	44	2	311	73	238	39	34
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	53	115	6	10	32	5	168	55	113	26	29
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	569	168	402	17	44	84	23	570	160	410	61	99
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	895	186	709	22	22	110	32	893	174	721	83	91
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	83	204	6	13	64	0	287	110	177	70	40
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	637	148	490	17	36	86	9	638	147	491	71	76
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	905	228	678	26	72	85	45	906	234	672	72	162
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1073	122	951	15	42	42	23	1060	142	931	43	99
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	883	260	623	24	79	99	58	877	265	618	81	184
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	961	284	677	28	95	89	72	955	282	679	68	214
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	853	249	604	29	59	121	40	849	233	620	109	124
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	645	169	476	12	62	60	35	638	190	455	47	143
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	905	226	679	18	64	116	28	904	259	646	89	170
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	866	220	646	19	68	80	53	858	251	615	72	179
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	928	235	693	44	78	92	21	927	279	649	98	181
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	734	233	501	39	46	111	37	732	269	465	110	159
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	612	166	446	18	49	74	25	605	176	436	67	109
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	728	152	576	17	50	59	26	725	206	522	44	162
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	745	219	526	24	52	99	44	743	235	510	89	146
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	225	629	51	74	78	22	854	209	645	46	163
