namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	pr2_14_votersreg	pr2_14_votersvalid	pr2_14_nevolici	pr2_14_fico	pr2_14_kiska
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516741	Dolná daòa	1	675	154	521	53	101	669	334	341	155	179
Banskobystrickı kraj	606	Zvolen	605	Krupina	518301	Dolné Mladonice	1	105	36	71	21	15	107	57	50	37	20
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515973	Dolné Plachtince	1	492	110	391	57	53	501	230	271	123	107
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515981	Dolné Strháre	1	169	41	138	27	14	179	93	86	57	36
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514632	Dolné Zahorany	1	157	32	126	19	13	158	93	65	8	85
Banskobystrickı kraj	606	Zvolen	605	Krupina	518310	Dolnı Badín	1	213	78	136	29	49	214	132	82	57	75
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508551	Dolnı Harmanec	1	192	52	141	21	31	193	102	91	52	50
Banskobystrickı kraj	606	Zvolen	605	Krupina	518336	Domaníky	1	162	44	121	29	15	165	85	80	42	43
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508560	Donovaly	1	175	64	260	26	38	324	242	82	58	184
Banskobystrickı kraj	602	Brezno	603	Brezno	508578	Drábsko	1	160	41	123	25	16	164	78	86	45	33
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514641	Draice	1	181	25	156	19	6	181	66	115	6	60
Banskobystrickı kraj	606	Zvolen	605	Krupina	518344	Dráovce	1	101	37	74	23	14	111	70	41	44	26
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514659	Drienèany	1	162	65	104	24	41	169	85	84	41	44
Banskobystrickı kraj	606	Zvolen	605	Krupina	518352	Drienovo	1	87	26	67	5	21	93	51	42	21	30
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514667	Dròa	1	136	34	111	20	14	145	60	85	10	50
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514675	Drkovce	1	403	70	335	18	52	405	141	264	19	122
Banskobystrickı kraj	603	Luèenec	607	Poltár	557323	Ïubákovo	1	79	27	65	9	18	92	52	40	25	27
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514683	Dubno	1	120	34	101	18	16	135	53	82	10	43
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518361	Dubové	1	215	76	531	56	20	607	328	279	174	154
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514691	Dubovec	1	391	43	348	34	9	381	128	263	7	121
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508586	Dúbravica	1	305	99	206	41	58	295	139	166	89	50
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	1	537	156	381	79	77	525	278	259	156	122
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	2	167	74	95	33	41	169	90	79	67	23
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	3	97	43	60	15	28	103	65	38	37	28
Banskobystrickı kraj	606	Zvolen	605	Krupina	518387	Dudince	1	1245	250	1330	135	115	1580	991	589	473	518
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557919	Dulovo	1	121	17	107	9	8	124	40	84	6	34
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515990	Ïurkovce	1	112	28	88	28	0	116	51	65	13	38
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514713	Figa	1	315	51	264	18	33	305	103	212	37	66
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	1	961	111	850	42	69	925	334	627	83	251
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	2	877	77	800	38	39	864	258	619	44	214
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	3	927	98	829	58	40	886	275	652	75	200
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	4	918	136	782	84	52	890	342	576	72	270
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	5	1013	171	842	104	67	979	401	612	75	326
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	6	620	61	559	29	32	611	184	436	35	149
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	7	945	80	865	43	37	923	199	746	36	163
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	8	762	107	655	50	57	741	222	540	54	168
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	9	1182	115	1067	58	57	1152	322	860	56	266
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511404	Fi¾akovské Kováèe	1	704	72	636	39	33	708	239	469	46	193
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514721	Gemer	1	692	60	632	25	35	683	248	444	38	210
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514730	Gemerèek	1	90	10	82	5	5	92	39	53	5	34
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514756	Gemerská Ves	1	696	42	659	22	20	701	186	515	31	155
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514764	Gemerské Dechtáre	1	362	67	295	53	14	358	147	215	15	132
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557889	Gemerské Michalovce	1	79	27	52	23	4	77	43	36	2	41
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	1	165	41	125	27	14	166	86	80	80	6
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	2	132	64	69	17	47	133	79	54	56	23
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514781	Gemerskı Jablonec	1	587	125	462	98	27	580	186	401	24	162
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	1	107	49	64	20	29	113	57	56	28	29
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	2	134	29	106	13	16	135	64	71	16	48
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516007	Glabušovce	1	93	44	53	28	16	97	63	34	12	51
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514799	Gortva	1	393	20	373	17	3	390	60	333	16	44
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557331	Gregorova Vieska	1	107	30	77	19	11	107	56	51	26	30
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514811	Hajnáèka	1	961	140	821	117	23	956	438	523	108	330
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511421	Haliè	1	1387	346	1041	121	225	1340	670	717	261	409
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508594	Harmanec	1	754	168	586	53	115	740	321	433	198	123
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	1	746	181	565	36	145	716	382	364	218	164
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	2	791	173	618	58	115	774	347	444	229	118
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	3	760	216	544	57	159	741	398	362	259	139
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508616	Hiade¾	1	433	102	339	32	70	441	193	248	106	87
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	1	1238	277	961	108	169	1210	625	613	300	325
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	2	1182	285	897	117	168	1123	604	578	298	306
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	1	342	48	294	22	26	228	80	262	44	36
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	2	703	93	610	31	62	703	158	545	107	51
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	3	848	171	677	60	111	805	286	562	161	125
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	4	1179	363	816	113	250	1146	481	698	251	230
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	5	669	200	469	91	109	644	293	376	201	92
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	6	913	273	640	67	206	843	356	557	178	178
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	7	1057	190	867	68	122	1041	328	729	195	133
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514837	Hodejov	1	1050	161	898	71	90	1059	267	792	86	181
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514845	Hodejovec	1	156	28	130	13	15	158	72	86	22	50
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	1	562	94	494	36	58	588	237	351	115	122
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	2	1182	336	846	163	173	1138	552	630	347	205
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	3	104	40	78	20	20	118	77	41	47	30
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511439	Holiša	1	479	49	430	38	11	466	173	306	63	110
Banskobystrickı kraj	606	Zvolen	605	Krupina	518409	Hontianske Moravce	1	714	216	498	113	103	677	316	398	201	115
Banskobystrickı kraj	606	Zvolen	605	Krupina	518417	Hontianske Nemce	1	1224	239	985	100	139	1200	564	660	306	258
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	1	415	71	344	36	35	415	145	270	83	62
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	2	51	18	39	12	6	57	35	22	28	7
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	3	145	31	115	21	10	146	64	82	37	27
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	4	84	19	79	9	10	98	63	35	36	27
Banskobystrickı kraj	602	Brezno	603	Brezno	508624	Horná Lehota	1	480	139	341	59	80	444	226	254	91	135
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508632	Horná Mièiná	1	474	174	300	78	96	469	268	206	107	161
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516015	Horná Strehová	1	132	32	106	9	23	138	74	64	26	48
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	581747	Horná Ves	1	595	134	764	49	85	898	444	454	279	165
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516791	Horná daòa	1	435	105	330	47	58	430	213	222	113	100
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516805	Horné Hámre	1	493	99	407	40	59	506	284	222	147	137
Banskobystrickı kraj	606	Zvolen	605	Krupina	518433	Horné Mladonice	1	134	41	105	28	13	146	73	73	41	32
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516023	Horné Plachtince	1	172	31	144	8	23	175	71	104	54	17
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508641	Horné Pršany	1	320	125	195	59	66	319	196	124	102	94
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516031	Horné Strháre	1	189	48	144	22	26	192	100	92	37	63
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514853	Horné Zahorany	1	112	43	69	22	21	105	70	42	45	25
Banskobystrickı kraj	606	Zvolen	605	Krupina	518441	Hornı Badín	1	147	56	92	19	37	148	97	51	47	50
Banskobystrickı kraj	606	Zvolen	604	Detva	518450	Hornı Tisovník	1	176	78	103	40	38	181	124	57	77	47
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514861	Hostice	1	675	76	605	46	30	681	145	536	17	128
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514870	Hostišovce	1	158	57	101	44	13	156	53	105	47	6
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516813	Hrabièov	1	475	99	392	27	72	491	238	253	149	89
Banskobystrickı kraj	603	Luèenec	607	Poltár	511447	Hradište	1	219	77	744	44	33	821	438	383	245	193
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	1	654	178	476	52	126	640	314	340	205	109
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	2	56	28	30	8	20	58	27	31	14	13
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	1	418	46	372	29	17	414	174	244	138	36
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	2	742	166	576	83	83	740	276	466	199	77
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	3	201	27	187	13	14	214	80	134	54	26
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	4	219	67	163	45	22	230	105	125	82	23
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	5	196	45	166	28	17	211	97	114	65	32
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	6	375	44	333	21	23	377	142	235	107	35
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	7	512	96	416	38	58	495	197	315	137	60
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	8	815	157	658	80	77	798	368	447	233	135
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	9	765	205	598	121	84	803	426	377	252	174
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514896	Hrlica	1	61	22	40	13	9	62	30	32	21	9
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	1	658	172	486	53	119	648	274	384	171	103
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	2	106	25	86	14	11	111	45	66	35	10
Banskobystrickı kraj	603	Luèenec	607	Poltár	514918	Hrnèiarske Zaluany	1	721	195	526	79	116	708	325	396	171	154
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508659	Hrocho	1	964	201	769	77	124	970	434	536	281	153
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508659	Hrocho	2	229	61	168	14	47	224	129	100	55	74
Banskobystrickı kraj	602	Brezno	603	Brezno	508667	Hronec	1	952	290	708	132	158	998	494	504	237	257
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	580236	Hronsek	1	542	160	384	69	91	544	339	205	161	178
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518476	Hronská Breznica	1	221	70	151	43	27	212	125	96	84	41
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516821	Hronská Dúbrava	1	332	75	260	44	31	335	174	161	103	71
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516830	Hronskı Beòadik	1	822	143	679	70	73	807	402	420	282	120
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516830	Hronskı Beòadik	2	185	34	152	15	19	186	92	94	42	50
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516040	Hrušov	1	698	142	556	94	48	669	328	370	236	92
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514926	Hrušovo	1	112	37	78	19	18	115	70	45	55	15
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514926	Hrušovo	2	56	24	34	15	9	58	38	20	25	13
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514934	Hubovo	1	112	19	96	12	7	115	45	70	3	42
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525766	Hucín	1	629	50	580	32	18	630	142	488	37	105
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514942	Husiná	1	375	30	345	21	9	371	145	230	20	125
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514951	Chanava	1	543	57	486	41	16	543	202	341	14	188
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514969	Chrámec	1	302	46	256	23	23	297	126	176	13	113
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516058	Chrastince	1	200	21	181	14	7	202	71	131	17	54
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516066	Chrany	1	122	53	71	36	17	124	66	58	47	19
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514977	Chvalová	1	130	50	82	22	28	132	65	67	33	32
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525774	Chyné	1	328	88	240	23	65	328	150	178	81	69
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516848	Ihráè	1	463	62	401	26	36	457	222	241	106	116
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516856	Ilija	1	271	74	203	32	42	277	146	131	80	66
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516074	Ipe¾ské Predmostie	1	536	96	440	85	11	507	203	333	16	187
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514985	Ivanice	1	181	62	131	25	37	193	81	112	19	62
Banskobystrickı kraj	606	Zvolen	605	Krupina	518484	Jalšovík	1	164	54	110	26	28	156	93	71	51	42
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514993	Janice	1	138	51	99	44	7	150	68	82	13	55
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516872	Janova Lehota	1	776	301	481	164	137	782	500	282	297	203
Banskobystrickı kraj	602	Brezno	603	Brezno	508691	Jarabá	1	35	16	34	5	11	50	34	16	12	22
Banskobystrickı kraj	602	Brezno	603	Brezno	508705	Jasenie	1	956	196	760	78	118	947	442	514	264	178
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516881	Jastrabá	1	473	73	406	24	49	479	227	252	92	135
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525791	Jelšava	1	1131	215	916	99	116	1120	253	878	166	87
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525791	Jelšava	2	1153	285	868	50	235	1138	318	835	163	155
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511463	Jelšovec	1	226	67	159	57	10	226	67	159	39	28
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515001	Jesenské	1	872	112	760	59	53	44	33	839	23	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515001	Jesenské	2	915	126	789	35	91	915	315	600	84	231
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515019	Jestice	1	139	32	107	16	16	132	39	100	6	33
Banskobystrickı kraj	603	Luèenec	607	Poltár	511471	Kalinovo	1	948	239	709	135	104	927	481	467	253	228
Banskobystrickı kraj	603	Luèenec	607	Poltár	511471	Kalinovo	2	917	194	723	81	113	914	437	480	225	212
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511480	Kalonda	1	181	40	143	29	11	183	84	99	12	72
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515027	Kaloša	1	524	101	423	81	20	524	197	327	22	175
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525812	Kameòany	1	539	138	417	64	74	555	123	432	91	32
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516082	Kamenné Kosihy	1	293	71	222	39	32	276	169	124	19	150
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515035	Kesovce	1	160	38	122	35	3	159	68	92	63	5
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516091	Kiarov	1	264	67	197	56	11	263	117	147	12	105
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516902	K¾ak	1	191	65	132	31	34	197	109	88	76	33
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516104	Kleòany	1	248	45	203	41	4	240	80	168	11	69
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515043	Klenovec	1	801	231	570	75	156	782	339	462	223	116
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515043	Klenovec	2	800	198	602	78	120	782	332	468	230	102
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515043	Klenovec	3	870	231	639	111	120	869	323	547	234	89
Banskobystrickı kraj	606	Zvolen	604	Detva	518492	Klokoè	1	416	119	300	44	75	419	221	198	157	64
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515051	Kociha	1	165	34	131	15	19	163	84	81	54	30
Banskobystrickı kraj	603	Luèenec	607	Poltár	511498	Kokava nad Rimavicou	1	796	324	472	218	106	779	311	485	214	97
Banskobystrickı kraj	603	Luèenec	607	Poltár	511498	Kokava nad Rimavicou	2	801	298	508	148	150	806	401	405	236	165
Banskobystrickı kraj	603	Luèenec	607	Poltár	511498	Kokava nad Rimavicou	3	803	324	479	195	129	790	392	411	239	153
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516112	Koláre	1	243	35	208	17	18	207	97	146	9	88
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515060	Konrádovce	1	250	43	213	15	28	256	93	163	22	71
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516937	Kopernica	1	342	60	290	15	45	350	135	215	63	72
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508713	Kordíky	1	320	119	213	31	88	332	217	115	73	144
Banskobystrickı kraj	606	Zvolen	604	Detva	580520	Korytárky	1	789	184	613	89	95	797	402	395	256	146
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516121	Kosihovce	1	459	48	411	31	17	456	160	299	60	100
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516139	Kosihy nad Ip¾om	1	397	34	363	32	2	390	165	232	15	150
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516945	Kosorín	1	358	131	227	47	84	357	185	173	113	72
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511374	Kotmanová	1	265	64	210	26	38	274	148	126	104	44
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518506	Kováèová	1	1265	417	910	224	193	1327	794	533	343	451
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516147	Kováèovce	1	311	58	253	38	20	288	128	183	25	103
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516953	Kozelník	1	153	46	107	16	30	149	71	82	51	20
Banskobystrickı kraj	606	Zvolen	605	Krupina	518514	Kozí Vrbovok	1	132	38	94	15	23	132	74	58	39	35
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516961	Krahule	1	156	47	129	28	19	176	120	56	36	84
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515078	Krá¾	1	745	143	602	82	61	742	267	478	58	209
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508721	Králiky	1	526	148	393	63	85	541	340	201	154	186
Banskobystrickı kraj	606	Zvolen	605	Krupina	518531	Krá¾ovce - Krnišov	1	152	44	117	24	20	161	86	75	57	29
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515086	Kraskovo	1	114	40	74	11	29	107	66	48	51	15
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516970	Kremnica	1	838	225	613	68	157	835	455	383	146	309
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516970	Kremnica	2	859	174	685	63	111	842	395	464	177	218
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516970	Kremnica	3	833	169	665	70	99	834	350	484	139	211
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516970	Kremnica	4	938	269	669	87	182	928	544	394	188	356
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516970	Kremnica	5	996	259	737	85	174	962	512	484	204	308
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516988	Kremnické Bane	1	210	38	184	16	22	222	110	112	45	65
Banskobystrickı kraj	606	Zvolen	604	Detva	518549	Kriváò	1	778	218	560	108	110	770	375	403	208	167
Banskobystrickı kraj	606	Zvolen	604	Detva	518549	Kriváò	2	631	154	477	82	72	629	329	302	209	120
Banskobystrickı kraj	603	Luèenec	607	Poltár	511501	Krná	1	50	25	28	14	11	53	28	25	24	4
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515094	Krokava	1	24	11	18	4	7	29	20	9	15	5
Banskobystrickı kraj	606	Zvolen	605	Krupina	518557	Krupina	1	1186	254	932	83	171	1185	478	708	226	252
Banskobystrickı kraj	606	Zvolen	605	Krupina	518557	Krupina	2	1044	240	804	107	133	1029	482	562	244	238
Banskobystrickı kraj	606	Zvolen	605	Krupina	518557	Krupina	3	862	230	632	109	121	823	421	441	198	223
Banskobystrickı kraj	606	Zvolen	605	Krupina	518557	Krupina	4	1241	329	912	121	208	1145	490	751	216	274
Banskobystrickı kraj	606	Zvolen	605	Krupina	518557	Krupina	5	1097	283	821	79	204	1104	447	657	203	244
Banskobystrickı kraj	606	Zvolen	605	Krupina	518557	Krupina	6	900	231	669	77	154	884	421	479	197	224
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515108	Kruno	1	297	60	237	28	32	290	140	157	86	54
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516996	Kunešov	1	193	33	160	13	20	192	68	125	35	33
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515116	Kyjatice	1	57	16	43	9	7	59	33	26	24	9
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	557277	Kynce¾ová	1	316	113	210	40	73	323	202	121	97	105
Banskobystrickı kraj	606	Zvolen	605	Krupina	518565	Lackov	1	86	26	63	11	15	89	54	35	36	18
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	599328	Ladomerská Vieska	1	657	177	480	77	100	654	349	308	188	161
Banskobystrickı kraj	606	Zvolen	605	Krupina	518573	Ladzany	1	247	88	165	56	32	253	190	63	149	41
Banskobystrickı kraj	606	Zvolen	604	Detva	511510	Látky	1	57	8	51	4	4	59	29	30	16	13
Banskobystrickı kraj	606	Zvolen	604	Detva	511510	Látky	2	409	103	323	54	49	426	246	180	161	85
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515124	Lehota nad Rimavicou	1	239	90	149	33	57	233	123	116	75	48
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511528	Lehôtka	1	282	79	203	29	50	280	123	159	80	43
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	517011	Lehôtka pod Brehmi	1	327	94	238	32	62	332	173	159	101	72
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515132	Lenartovce	1	411	71	347	43	28	418	176	242	7	169
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515141	Lenka	1	161	55	106	27	28	159	94	67	22	72
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511536	Lentvora	1	50	21	40	20	1	61	30	31	16	14
