namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	pr2_14_votersreg	pr2_14_votersvalid	pr2_14_nevolici	pr2_14_fico	pr2_14_kiska
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	41	170	38	3	208	41	170	25	16
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	466	134	332	72	62	445	215	251	146	69
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1157	233	924	104	129	1133	463	694	260	203
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	494	82	412	43	39	484	186	308	157	29
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	168	22	146	11	11	168	76	92	52	24
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	48	161	21	27	209	117	92	50	67
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	773	95	678	77	18	766	299	474	22	277
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	63	355	55	8	418	208	210	27	181
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	92	833	57	35	845	384	541	46	338
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	56	296	22	34	352	148	204	77	71
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	325	51	274	24	27	320	142	183	35	107
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	68	253	44	24	321	125	196	106	19
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	462	129	333	63	66	446	237	225	122	115
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	84	177	37	47	261	148	113	76	72
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	49	82	28	21	131	89	42	58	31
