namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	eu_14_votersreg	eu_14_votersvalid	eu_14_nevolici	eu_14_other	eu_14_nova	eu_14_kdh	eu_14_smer	eu_14_most	eu_14_ol	eu_14_sas	eu_14_sdku	eu_14_smk		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	39	1078	268	842	41	54	109	64	1110	227	883	43	16	21	69	3	38	21	16	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	40	1151	309	842	46	48	123	92	1047	168	983	35	9	12	49	9	18	11	25	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	41	979	224	903	32	39	109	44	1127	198	929	35	24	12	45	5	29	24	24	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	42	906	223	731	30	49	93	51	954	146	808	25	15	13	39	0	27	14	12	1		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	43	977	273	704	35	63	126	49	889	146	831	24	6	14	39	4	28	12	19	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	44	1058	290	768	31	47	128	84	970	173	885	34	11	9	52	3	26	17	21	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	45	898	252	771	36	50	116	50	1023	168	855	34	6	14	52	6	22	10	24	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	46	841	231	680	22	34	126	49	911	177	734	36	13	17	39	0	31	19	22	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	47	802	199	634	24	50	94	31	833	135	698	35	6	9	48	3	17	10	7	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	48	989	238	751	32	60	106	40	780	144	845	28	12	9	36	3	22	9	25	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	49	941	236	731	31	52	116	37	967	168	799	42	10	5	54	4	22	16	15	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	50	998	203	795	24	41	101	37	922	126	872	24	8	12	36	2	29	3	12	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	51	1108	358	750	54	56	184	64	965	124	984	19	5	9	55	1	16	6	13	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	52	664	149	936	24	25	75	25	1085	258	827	53	14	29	70	2	41	19	30	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	53	1022	254	768	31	72	94	57	650	104	918	26	5	3	35	1	16	6	12	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	54	1038	330	708	35	62	171	62	982	146	892	41	6	11	42	1	19	8	18	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	55	1002	292	731	48	63	123	58	1023	219	804	42	12	17	84	4	20	18	22	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	56	788	207	767	16	50	96	45	974	213	761	42	8	19	68	5	41	14	16	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	57	745	187	588	20	36	88	43	775	153	622	29	11	11	40	2	32	8	20	0		
