namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	vuc1_09_votersreg	vuc1_09_votersvalid	vuc1_09_nevolici	vuc1_09_other	vuc1_09_kotleba	vuc1_09_manka	vuc1_09_mikus	vuc1_09_simko
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	47	802	199	864	24	50	94	31	1063	289	774	37	37	93	120	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	48	989	238	751	32	60	106	40	804	270	719	36	25	96	113	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	49	941	236	705	31	52	116	37	375	146	795	23	15	50	58	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	50	998	203	795	24	41	101	37	755	179	819	47	10	75	45	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	51	1108	358	750	54	56	184	64	772	182	926	19	18	56	86	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	52	664	149	515	24	25	75	25	292	58	606	5	9	17	27	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	53	1022	254	806	31	72	94	57	1060	303	757	25	19	112	147	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	54	1038	330	708	35	62	171	62	845	235	803	34	24	85	87	5
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	55	1002	292	710	48	63	123	58	950	290	712	42	42	83	121	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	56	788	207	693	16	50	96	45	900	258	642	36	36	73	111	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	57	745	187	558	20	36	88	43	659	144	601	21	28	26	67	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	58	621	150	1080	19	43	56	32	1230	397	833	65	54	144	131	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	59	723	222	619	25	81	74	42	841	233	608	40	30	68	92	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	60	755	183	572	26	49	60	48	718	195	560	22	18	69	85	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	61	776	199	766	30	36	80	53	965	231	734	29	21	102	79	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	62	763	177	586	31	28	82	36	414	120	643	16	15	31	56	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	63	751	139	664	23	50	38	28	803	146	657	22	18	43	62	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	64	955	239	716	30	73	95	41	813	201	754	24	22	73	77	5
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	65	986	199	787	16	58	80	45	810	199	787	20	20	80	77	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	66	666	134	817	18	43	53	20	951	220	731	13	32	92	81	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	67	940	176	855	24	61	63	28	1031	190	841	12	31	66	79	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	68	1065	243	888	35	93	82	33	1131	234	897	23	42	31	137	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	69	922	248	779	28	66	108	46	1027	253	774	41	32	86	92	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	70	1048	217	856	42	69	64	42	1073	220	853	18	38	66	97	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	71	881	191	690	25	51	67	48	707	156	725	19	17	41	78	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	72	799	192	826	32	58	65	37	1018	198	820	20	36	68	74	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	73	820	151	982	25	43	49	34	1133	242	891	35	36	53	117	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	74	987	232	755	49	73	77	33	884	233	754	16	32	63	120	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	75	1064	231	873	32	78	78	43	1104	241	863	16	32	71	121	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	76	887	194	952	37	63	71	23	1146	251	895	33	39	58	116	5
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	77	1058	207	923	22	70	70	45	1130	221	909	19	42	50	106	4
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	78	945	215	917	22	70	68	55	1132	238	894	17	35	70	116	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	79	691	150	1102	20	61	34	35	1252	244	1008	25	35	73	109	2
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	1	914	195	719	14	19	66	96	895	183	731	20	6	50	100	7
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	2	698	213	535	30	15	107	61	748	182	566	5	6	91	78	2
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	3	1045	249	822	49	36	104	60	1071	274	797	32	22	92	124	4
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	4	817	251	578	23	28	143	57	829	233	596	14	17	111	88	3
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	5	677	183	512	13	24	101	45	695	177	518	12	7	109	46	3
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	6	1000	232	806	37	30	115	50	1038	222	816	26	22	99	70	5
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	7	835	220	649	24	27	109	60	869	168	701	13	13	55	85	2
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	8	942	221	721	28	42	111	40	886	176	766	15	21	77	62	1
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	9	762	175	587	22	32	72	49	750	184	578	16	10	83	73	2
