namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	vuc2_09_votersreg	vuc2_09_votersvalid	vuc2_09_nevolici	vuc2_09_manka	vuc2_09_mikus
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	24	281	18	6	302	56	249	43	13
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	140	51	89	34	17	136	25	115	16	9
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	54	447	43	11	479	125	376	19	106
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	22	90	12	10	112	33	79	16	17
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	982	267	715	83	184	978	135	847	57	78
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	913	113	814	66	47	927	68	859	26	42
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	79	540	54	25	609	47	572	18	29
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	224	37	199	15	22	236	40	196	24	16
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	73	238	39	34	308	61	250	43	18
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	55	116	26	29	171	67	104	39	28
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	570	160	418	61	99	578	71	507	42	29
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	893	174	734	83	91	908	173	735	118	55
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	110	177	70	40	278	82	205	76	6
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	638	147	491	71	76	633	86	552	69	17
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	906	234	685	72	162	919	137	782	68	69
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1060	142	918	43	99	792	80	980	49	31
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	877	265	668	81	184	933	173	760	93	80
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	955	282	723	68	214	1 005	185	820	67	118
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	849	233	671	109	124	904	176	728	102	74
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	638	190	526	47	143	716	120	596	67	53
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	904	259	715	89	170	974	171	803	101	70
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	858	251	681	72	179	932	180	752	93	87
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	927	279	669	98	181	948	172	776	91	81
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	732	269	506	110	159	775	211	564	114	97
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	605	176	487	67	109	663	106	557	57	49
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	725	206	579	44	162	785	97	688	49	48
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	743	235	547	89	146	782	156	626	88	68
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	209	645	46	163	818	79	775	34	45
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1033	310	731	52	258	1 041	115	926	43	72
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1041	349	750	55	294	1 099	119	980	44	75
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1014	323	691	49	274	999	129	885	46	83
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1008	260	777	41	219	1 037	79	958	38	41
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	640	123	522	24	99	645	42	603	23	19
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	846	145	702	30	115	847	60	787	30	30
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	60	171	9	51	231	30	201	10	20
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	88	20	68	12	8	80	38	50	35	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	816	184	640	52	132	824	156	668	71	85
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	949	212	740	79	133	952	147	805	77	70
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1049	288	761	149	139	1 026	297	752	166	131
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	8	33	8	0	38	13	28	13	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	132	86	77	55	218	67	151	58	9
