namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	pr1_14_votersreg	pr1_14_votersvalid	pr1_14_nevolici	pr1_14_other	pr1_14_bardos	pr1_14_fico	pr1_14_kiska	pr1_14_knazko	pr1_14_prochazka
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	40	99	4	14	21	1	139	72	67	8	1	41	6	6	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	114	425	12	11	76	15	539	139	400	19	46	26	19	9	20
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	340	53	287	7	8	33	5	337	118	222	7	0	63	16	16	16
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	67	111	14	9	28	16	178	104	74	20	0	32	18	14	20
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	96	384	7	19	58	12	480	164	316	22	0	61	22	16	43
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	2	466	126	341	4	33	80	9	467	137	330	13	0	47	23	8	46
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	3	612	173	450	9	34	129	1	623	217	406	19	1	101	32	11	53
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	4	389	92	304	12	20	56	4	396	154	242	15	0	52	26	18	43
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	5	1172	384	788	68	81	212	23	1169	454	718	54	0	174	81	31	114
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	6	1238	440	804	32	82	296	30	1244	582	662	53	0	244	96	54	135
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	7	877	254	623	23	88	113	30	830	357	520	39	0	91	90	42	95
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	8	1018	337	681	28	60	204	45	984	457	561	39	0	160	99	38	121
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	9	657	197	460	37	42	108	10	650	271	386	30	0	121	47	31	42
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	10	1030	273	757	14	63	170	26	1003	420	610	46	1	172	78	41	82
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	11	1272	419	853	96	63	217	43	1246	441	831	44	0	179	87	41	90
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	12	1087	317	770	22	61	197	37	1047	417	670	46	0	168	75	38	90
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	13	495	182	313	13	32	119	18	479	252	243	23	0	119	31	22	57
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	14	1232	333	899	24	76	210	23	1201	439	793	53	1	202	61	32	90
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	15	220	57	175	7	12	30	8	232	100	132	14	0	19	28	13	26
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	1	384	85	299	12	15	57	1	377	146	238	14	0	65	26	4	37
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	2	88	18	70	1	3	14	0	87	36	52	2	0	21	2	3	8
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	3	120	32	98	5	7	15	5	130	70	60	4	1	29	17	4	15
Banskobystrickı kraj	606	Zvolen	605	Krupina	518280	Devièie	1	250	101	153	17	23	49	12	254	143	111	10	0	59	25	22	27
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	1	789	196	627	21	45	106	24	823	381	442	26	0	176	62	37	80
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	2	881	160	721	37	29	85	9	849	292	589	21	0	144	46	32	49
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518298	Dobrá Niva	1	1554	372	1182	21	49	236	66	1520	720	834	72	0	233	139	98	178
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	1	502	107	395	9	27	59	12	492	195	307	7	0	98	35	20	35
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	2	42	8	40	0	4	4	0	48	29	19	3	0	13	2	2	9
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515957	Dolinka	1	412	77	335	19	2	33	23	405	167	245	7	130	9	16	4	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508535	Dolná Lehota	1	609	97	525	23	13	53	8	622	263	359	29	0	110	55	25	44
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508543	Dolná Mièiná	1	311	77	242	16	16	35	10	319	157	162	15	1	49	36	14	42
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515965	Dolná Strehová	1	871	105	766	24	20	34	27	849	331	540	24	0	152	66	35	54
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516724	Dolná Trnávka	1	295	115	180	24	38	48	5	288	155	140	20	0	25	38	15	57
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516732	Dolná Ves	1	203	41	165	1	6	30	4	206	103	103	10	0	41	22	3	27
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516741	Dolná daòa	1	673	130	547	20	36	66	8	677	294	383	35	0	81	98	16	64
Banskobystrickı kraj	606	Zvolen	605	Krupina	518301	Dolné Mladonice	1	105	40	71	13	6	19	2	111	58	53	13	0	18	6	2	19
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515973	Dolné Plachtince	1	491	72	432	18	17	33	4	504	199	305	13	3	74	28	50	31
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515981	Dolné Strháre	1	173	43	134	6	4	22	11	177	79	98	1	0	40	6	22	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514632	Dolné Zahorany	1	157	37	120	5	4	21	7	156	84	73	17	34	6	18	3	6
Banskobystrickı kraj	606	Zvolen	605	Krupina	518310	Dolnı Badín	1	213	99	123	15	30	48	6	222	141	81	18	0	33	29	8	53
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508551	Dolnı Harmanec	1	192	48	145	8	14	19	7	193	81	112	8	0	29	22	6	16
Banskobystrickı kraj	606	Zvolen	605	Krupina	518336	Domaníky	1	163	39	125	12	3	23	1	164	74	90	3	0	30	19	10	12
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508560	Donovaly	1	175	56	223	7	22	19	8	279	199	80	4	0	27	53	54	61
Banskobystrickı kraj	602	Brezno	603	Brezno	508578	Drábsko	1	160	40	120	2	9	28	1	160	52	108	6	0	25	13	5	3
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514641	Draice	1	181	25	156	5	4	10	6	181	52	129	8	16	4	15	6	3
Banskobystrickı kraj	606	Zvolen	605	Krupina	518344	Dráovce	1	101	32	77	9	4	16	3	109	63	46	10	1	29	11	5	7
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514659	Drienèany	1	161	54	107	7	17	30	0	161	67	94	5	1	27	16	8	10
Banskobystrickı kraj	606	Zvolen	605	Krupina	518352	Drienovo	1	87	32	59	10	9	8	5	91	40	51	8	0	6	8	5	13
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514667	Dròa	1	137	44	98	10	8	12	14	142	41	101	3	29	1	4	3	1
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514675	Drkovce	1	403	172	232	40	23	81	28	404	138	266	7	89	9	24	1	8
Banskobystrickı kraj	603	Luèenec	607	Poltár	557323	Ïubákovo	1	79	23	59	0	10	11	2	82	47	35	6	0	23	8	0	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514683	Dubno	1	120	57	78	7	8	33	9	135	53	82	4	42	3	3	1	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518361	Dubové	1	216	62	154	4	4	52	2	213	118	98	16	0	47	19	17	19
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514691	Dubovec	1	391	98	293	28	16	42	12	385	87	304	19	38	3	24	0	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508586	Dúbravica	1	303	100	203	15	26	44	15	299	125	178	8	0	51	21	19	26
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	1	537	183	354	20	34	126	3	527	247	290	16	0	116	48	11	56
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	2	167	58	112	3	8	45	2	170	75	95	4	0	42	14	5	10
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	3	98	53	50	5	14	29	5	103	51	52	6	0	20	9	3	13
Banskobystrickı kraj	606	Zvolen	605	Krupina	518387	Dudince	1	1245	261	1202	24	44	156	37	1463	810	653	57	10	283	165	115	180
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557919	Dulovo	1	120	20	104	10	3	6	1	124	28	96	5	10	2	8	3	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515990	Ïurkovce	1	113	26	89	8	0	16	2	115	47	68	1	16	16	10	4	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514713	Figa	1	316	99	217	61	13	17	8	312	76	240	8	18	27	13	3	7
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	1	961	175	786	18	39	82	36	932	254	707	10	85	50	69	16	24
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	2	882	136	746	41	11	60	24	871	189	693	14	46	26	51	23	29
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	3	924	158	766	23	11	93	31	888	218	706	16	86	50	34	18	14
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	4	918	197	721	26	22	92	57	897	289	629	17	101	39	77	20	35
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	5	1013	218	795	27	29	100	62	972	352	661	34	148	34	85	33	18
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	6	621	85	536	14	8	48	15	605	165	456	7	70	31	43	8	6
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	7	946	97	849	14	15	51	17	936	189	757	10	68	27	45	19	20
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	8	762	137	625	27	15	61	34	746	185	577	7	60	40	42	15	21
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	9	1181	184	997	32	24	86	42	1159	257	924	17	94	26	64	33	23
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511404	Fi¾akovské Kováèe	1	705	104	607	19	15	53	17	711	202	509	11	68	28	54	28	13
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514721	Gemer	1	689	90	599	27	11	19	33	682	214	475	25	124	11	46	1	7
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514730	Gemerèek	1	90	17	74	0	1	11	5	91	33	58	8	13	0	7	0	5
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514756	Gemerská Ves	1	695	78	620	29	7	36	6	698	130	568	21	74	15	10	4	6
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514764	Gemerské Dechtáre	1	363	129	234	21	6	75	27	359	147	216	18	112	1	14	0	2
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557889	Gemerské Michalovce	1	79	26	53	5	1	4	16	76	33	46	7	14	0	10	0	2
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	1	165	44	122	5	6	33	0	166	56	110	2	0	46	5	0	3
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	2	132	47	85	7	9	27	4	131	57	75	7	0	35	6	4	5
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514781	Gemerskı Jablonec	1	585	196	389	32	10	123	31	583	241	344	18	183	15	24	0	1
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	1	107	26	86	5	12	9	0	112	49	63	8	6	14	16	1	4
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	2	134	43	94	10	9	17	7	137	54	83	7	21	9	12	1	4
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516007	Glabušovce	1	94	38	58	2	0	31	5	96	52	44	7	11	5	22	3	4
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514799	Gortva	1	393	76	317	50	3	12	11	390	45	348	10	16	10	6	1	2
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557331	Gregorova Vieska	1	107	26	82	3	5	11	7	108	49	59	4	0	16	12	10	7
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514811	Hajnáèka	1	961	232	729	26	8	168	30	947	345	616	16	216	63	39	5	6
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511421	Haliè	1	1387	369	1018	49	85	152	83	1346	576	811	65	0	177	154	83	97
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508594	Harmanec	1	750	130	620	17	35	63	15	749	260	490	16	0	112	45	29	58
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	1	745	138	607	18	49	60	11	737	320	425	20	0	143	71	27	59
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	2	791	81	712	7	32	32	10	793	290	503	16	1	150	58	18	47
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	3	760	151	609	20	65	50	16	742	351	409	25	1	172	49	26	78
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508616	Hiade¾	1	433	92	345	6	22	34	30	437	154	283	10	0	62	25	16	41
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	1	1236	201	1035	39	47	98	17	1223	527	709	55	1	152	139	49	131
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	2	1182	269	913	26	58	159	26	1137	520	662	46	1	172	117	62	122
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	1	342	63	279	15	14	25	9	226	61	281	5	2	30	15	7	2
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	2	704	80	624	14	31	30	5	703	125	579	14	2	61	25	11	12
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	3	845	155	690	17	37	79	22	811	227	618	28	2	95	43	33	26
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	4	1182	300	882	21	114	120	45	1157	423	759	35	1	141	115	68	63
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	5	670	180	490	5	55	101	19	650	244	426	17	2	131	51	18	25
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	6	917	225	692	16	92	84	33	860	302	615	37	1	99	67	50	48
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	7	1053	183	870	43	54	69	17	1039	273	780	27	0	132	60	22	32
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514837	Hodejov	1	1053	187	870	89	47	37	14	1057	224	833	52	51	53	51	6	11
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514845	Hodejovec	1	156	17	140	1	4	8	4	157	60	97	5	33	11	6	2	3
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	1	561	86	484	8	13	47	18	570	175	395	25	0	60	37	21	32
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	2	1186	297	912	34	28	183	52	1209	490	719	42	1	219	108	43	77
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	3	104	37	72	1	10	23	3	109	54	55	1	0	26	18	4	5
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511439	Holiša	1	480	55	425	11	2	26	16	466	156	324	7	58	43	19	12	17
Banskobystrickı kraj	606	Zvolen	605	Krupina	518409	Hontianske Moravce	1	714	252	462	32	55	152	13	671	294	420	37	0	121	37	38	61
Banskobystrickı kraj	606	Zvolen	605	Krupina	518417	Hontianske Nemce	1	1223	204	1019	21	54	101	28	1200	533	690	71	1	180	89	59	133
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	1	415	78	337	32	7	33	6	412	134	281	18	0	64	18	12	22
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	2	51	16	40	1	0	15	0	56	29	27	2	0	15	2	1	9
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	3	145	22	129	2	2	17	1	151	60	91	7	0	22	13	5	13
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	4	84	32	63	13	4	12	3	95	47	48	8	1	13	8	6	11
Banskobystrickı kraj	602	Brezno	603	Brezno	508624	Horná Lehota	1	480	106	405	6	28	60	12	511	242	269	24	0	87	66	32	33
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508632	Horná Mièiná	1	473	135	338	22	28	63	22	469	243	230	22	1	69	64	49	38
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516015	Horná Strehová	1	132	30	104	9	11	8	2	134	60	74	8	0	11	26	7	8
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	581747	Horná Ves	1	595	112	483	12	30	44	26	590	297	298	23	1	66	83	26	98
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516791	Horná daòa	1	435	95	340	16	11	61	7	427	179	256	10	0	63	45	16	45
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516805	Horné Hámre	1	492	114	388	15	30	62	7	502	256	246	31	0	87	67	8	63
Banskobystrickı kraj	606	Zvolen	605	Krupina	518433	Horné Mladonice	1	134	60	83	22	8	30	0	143	66	77	20	1	15	14	6	10
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516023	Horné Plachtince	1	172	28	149	8	7	12	1	177	75	102	6	1	34	6	23	5
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508641	Horné Pršany	1	321	119	202	25	23	55	16	318	172	149	12	1	61	42	22	34
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516031	Horné Strháre	1	190	42	152	11	8	20	3	194	83	111	11	1	28	24	11	8
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514853	Horné Zahorany	1	112	41	71	5	11	22	3	109	66	46	12	0	30	4	9	11
Banskobystrickı kraj	606	Zvolen	605	Krupina	518441	Hornı Badín	1	147	82	65	12	20	40	10	146	90	57	13	0	23	25	5	24
Banskobystrickı kraj	606	Zvolen	604	Detva	518450	Hornı Tisovník	1	177	75	107	10	18	40	7	182	114	68	15	0	53	26	6	14
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514861	Hostice	1	675	215	463	109	15	45	46	678	155	523	34	95	10	9	2	5
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514870	Hostišovce	1	158	25	133	5	2	17	1	157	23	135	5	0	15	0	1	2
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516813	Hrabièov	1	474	93	387	22	22	45	4	480	197	283	21	0	83	29	15	49
Banskobystrickı kraj	603	Luèenec	607	Poltár	511447	Hradište	1	218	86	141	4	22	57	3	227	123	104	17	1	66	22	6	11
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	1	656	141	515	12	50	71	8	647	245	411	39	0	99	35	24	48
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	2	57	22	35	2	9	10	1	55	21	36	8	0	6	1	2	4
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	1	418	77	341	15	6	56	0	417	150	268	13	0	89	18	4	26
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	2	742	210	532	26	37	130	17	739	226	516	37	1	92	32	16	48
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	3	201	60	155	9	6	42	3	215	61	154	10	0	29	6	4	12
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	4	220	82	149	3	11	65	3	231	98	133	17	0	51	12	10	8
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	5	196	52	157	3	5	42	2	209	56	153	6	0	31	10	1	8
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	6	375	76	300	8	20	41	7	376	84	292	11	0	45	18	1	9
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	7	512	114	398	16	22	63	13	493	180	332	29	0	91	27	12	21
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	8	814	215	599	30	25	127	33	806	297	517	48	0	128	50	32	39
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	9	768	232	548	20	25	160	27	780	340	440	20	0	175	60	33	52
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514896	Hrlica	1	61	22	40	5	5	12	0	62	22	40	5	0	13	4	0	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	1	655	182	473	42	53	75	12	644	187	468	17	0	99	37	14	20
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	2	106	22	88	1	7	14	0	110	51	59	4	0	35	3	0	9
Banskobystrickı kraj	603	Luèenec	607	Poltár	514918	Hrnèiarske Zaluany	1	720	179	541	26	43	87	23	706	290	430	38	0	107	64	26	55
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508659	Hrocho	1	956	133	826	33	42	39	19	959	318	641	19	1	152	60	40	46
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508659	Hrocho	2	229	27	202	11	7	5	4	220	95	134	8	0	37	22	12	16
Banskobystrickı kraj	602	Brezno	603	Brezno	508667	Hronec	1	951	220	754	19	42	136	23	974	414	560	38	1	161	98	50	66
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	580236	Hronsek	1	542	134	415	8	35	64	27	549	262	287	14	1	93	54	34	66
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518476	Hronská Breznica	1	221	66	155	1	8	46	11	220	107	114	4	0	57	20	10	16
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516821	Hronská Dúbrava	1	330	75	259	7	5	55	8	334	155	179	17	0	58	32	7	41
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516830	Hronskı Beòadik	1	822	116	706	23	13	74	6	803	339	483	33	1	181	30	25	69
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516830	Hronskı Beòadik	2	185	49	136	5	26	13	5	183	91	94	22	0	29	21	3	16
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516040	Hrušov	1	698	140	558	14	9	103	14	674	302	396	46	1	145	55	23	32
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514926	Hrušovo	1	112	23	91	2	4	17	0	114	58	56	14	0	34	2	8	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514926	Hrušovo	2	56	25	31	2	1	19	3	55	33	23	3	1	19	2	4	4
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514934	Hubovo	1	113	17	98	3	0	11	3	115	40	75	1	30	5	3	0	1
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525766	Hucín	1	629	81	548	17	10	46	8	626	98	531	5	38	27	14	4	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514942	Husiná	1	374	37	337	4	1	25	7	373	152	222	31	89	15	7	1	9
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514951	Chanava	1	542	127	415	22	2	68	35	541	154	388	4	129	6	11	3	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514969	Chrámec	1	303	96	207	19	17	51	9	294	81	222	17	34	11	19	0	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516058	Chrastince	1	199	29	174	11	4	7	7	203	62	141	10	15	11	20	4	2
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516066	Chrany	1	122	41	87	9	5	25	2	128	57	71	4	1	33	8	6	5
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514977	Chvalová	1	130	48	83	12	6	24	6	131	46	85	6	10	16	12	1	1
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525774	Chyné	1	328	57	271	6	21	26	4	328	120	208	18	1	40	39	8	14
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516848	Ihráè	1	460	64	396	9	11	39	5	451	203	257	18	0	63	47	6	69
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516856	Ilija	1	271	70	232	14	19	21	16	302	154	148	13	0	53	19	21	48
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516074	Ipe¾ské Predmostie	1	535	97	438	12	5	55	25	500	194	341	10	145	10	18	8	3
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514985	Ivanice	1	180	72	120	38	12	20	2	192	66	126	17	38	5	2	2	2
Banskobystrickı kraj	606	Zvolen	605	Krupina	518484	Jalšovík	1	164	68	96	9	11	38	10	157	87	77	17	1	29	11	16	13
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514993	Janice	1	138	88	63	29	7	46	6	151	93	58	4	79	3	6	0	1
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516872	Janova Lehota	1	775	388	398	65	65	236	22	786	401	385	29	1	187	85	34	65
Banskobystrickı kraj	602	Brezno	603	Brezno	508691	Jarabá	1	35	10	41	3	2	5	0	51	29	22	4	0	6	7	9	3
Banskobystrickı kraj	602	Brezno	603	Brezno	508705	Jasenie	1	958	168	790	19	36	101	12	945	372	586	40	0	170	67	20	75
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516881	Jastrabá	1	471	85	386	23	14	35	13	463	201	270	6	0	68	44	10	73
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525791	Jelšava	1	1128	87	1041	19	41	18	9	1123	178	950	12	2	105	39	8	12
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525791	Jelšava	2	1150	160	990	25	81	36	18	1145	247	903	26	4	105	78	14	20
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511463	Jelšovec	1	227	57	170	8	5	43	1	224	59	168	13	8	21	11	5	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515001	Jesenské	1	872	125	747	44	20	34	27	865	136	736	15	48	19	41	7	6
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515001	Jesenské	2	914	90	824	12	38	21	19	907	254	660	21	73	47	73	14	26
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515019	Jestice	1	139	34	105	7	0	18	9	132	49	90	6	39	3	0	0	1
